,Budget interval,"Best 50 (Normal,Diverse)","All (Normal,Diverse)"
0,450 to 500,"[52, 48]","[62, 38]"
1,500 to 550,"[32, 68]","[35, 65]"
2,550 to 600,"[6, 94]","[67, 33]"
3,600 to 650,"[98, 2]","[91, 9]"
4,650 to 700,"[100, 0]","[97, 3]"
5,700 to 750,"[100, 0]","[91, 9]"
6,750 to 800,"[98, 2]","[59, 41]"
7,800 to 850,"[30, 70]","[17, 83]"
8,850 to 900,"[10, 90]","[3, 97]"
9,900 to 950,"[0, 0]","[0, 0]"
10,950 to 1000,"[0, 0]","[0, 0]"
