,Budget interval,Best 50,Worst 50,All
0,450 to 500,"[34, 42, 24]","[2, 72, 26]","[34, 41, 24]"
1,500 to 550,"[54, 22, 24]","[44, 26, 30]","[49, 30, 21]"
2,550 to 600,"[96, 0, 4]","[60, 12, 28]","[61, 23, 16]"
3,600 to 650,"[96, 2, 2]","[70, 22, 8]","[70, 16, 14]"
4,650 to 700,"[100, 0, 0]","[68, 18, 14]","[76, 12, 13]"
5,700 to 750,"[100, 0, 0]","[76, 8, 16]","[79, 8, 13]"
6,750 to 800,"[98, 0, 2]","[46, 16, 38]","[77, 9, 14]"
7,800 to 850,"[100, 0, 0]","[20, 42, 38]","[77, 10, 13]"
8,850 to 900,"[86, 4, 10]","[62, 24, 14]","[66, 18, 16]"
9,900 to 950,"[48, 40, 12]","[20, 70, 10]","[35, 55, 10]"
10,950 to 1000,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
