,Budget,Nation,Count,Team percentage,League percentage,Ratio,Amount as dist
0,500,"['eng England', 'it Italy', 'cz Czech Republic', 'ng Nigeria', 'mk North Macedonia']","[7, 1, 1, 1, 1]","[0.636, 0.091, 0.091, 0.091, 0.091]","[0.395, 0.009, 0.005, 0.012, 0.002]","[1.61, 10.111, 18.2, 7.583, 45.5]","[4.345, 0.099, 0.055, 0.132, 0.022]"
1,550,"['eng England', 'it Italy', 'cz Czech Republic', 'pt Portugal', 'ng Nigeria', 'mk North Macedonia', 'nir Northern Ireland', 'ar Argentina']","[4, 1, 1, 1, 1, 1, 1, 1]","[0.364, 0.091, 0.091, 0.091, 0.091, 0.091, 0.091, 0.091]","[0.395, 0.009, 0.005, 0.034, 0.012, 0.002, 0.011, 0.014]","[0.922, 10.111, 18.2, 2.676, 7.583, 45.5, 8.273, 6.5]","[4.345, 0.099, 0.055, 0.374, 0.132, 0.022, 0.121, 0.154]"
2,600,"['eng England', 'cz Czech Republic', 'pt Portugal', 'de Germany', 'nir Northern Ireland', 'ar Argentina']","[5, 2, 1, 1, 1, 1]","[0.455, 0.182, 0.091, 0.091, 0.091, 0.091]","[0.395, 0.005, 0.034, 0.016, 0.011, 0.014]","[1.152, 36.4, 2.676, 5.688, 8.273, 6.5]","[4.345, 0.055, 0.374, 0.176, 0.121, 0.154]"
3,650,"['eng England', 'cz Czech Republic', 'pt Portugal', 'de Germany', 'kr Korea Republic', 'nir Northern Ireland', 'ar Argentina']","[5, 1, 1, 1, 1, 1, 1]","[0.455, 0.091, 0.091, 0.091, 0.091, 0.091, 0.091]","[0.395, 0.005, 0.034, 0.016, 0.002, 0.011, 0.014]","[1.152, 18.2, 2.676, 5.688, 45.5, 8.273, 6.5]","[4.345, 0.055, 0.374, 0.176, 0.022, 0.121, 0.154]"
4,700,"['eng England', 'cz Czech Republic', 'pt Portugal', 'kr Korea Republic', 'nir Northern Ireland', 'ar Argentina']","[5, 1, 2, 1, 1, 1]","[0.455, 0.091, 0.182, 0.091, 0.091, 0.091]","[0.395, 0.005, 0.034, 0.002, 0.011, 0.014]","[1.152, 18.2, 5.353, 45.5, 8.273, 6.5]","[4.345, 0.055, 0.374, 0.022, 0.121, 0.154]"
5,750,"['eng England', 'de Germany', 'kr Korea Republic', 'pt Portugal', 'nir Northern Ireland', 'sct Scotland', 'ar Argentina']","[5, 1, 1, 1, 1, 1, 1]","[0.455, 0.091, 0.091, 0.091, 0.091, 0.091, 0.091]","[0.395, 0.016, 0.002, 0.034, 0.011, 0.031, 0.014]","[1.152, 5.688, 45.5, 2.676, 8.273, 2.935, 6.5]","[4.345, 0.176, 0.022, 0.374, 0.121, 0.341, 0.154]"
6,800,"['eng England', 'pt Portugal', 'de Germany', 'kr Korea Republic', 'nir Northern Ireland', 'sct Scotland', 'ar Argentina']","[4, 2, 1, 1, 1, 1, 1]","[0.364, 0.182, 0.091, 0.091, 0.091, 0.091, 0.091]","[0.395, 0.034, 0.016, 0.002, 0.011, 0.031, 0.014]","[0.922, 5.353, 5.688, 45.5, 8.273, 2.935, 6.5]","[4.345, 0.374, 0.176, 0.022, 0.121, 0.341, 0.154]"
7,850,"['eng England', 'de Germany', 'kr Korea Republic', 'pt Portugal', 'eg Egypt', 'nir Northern Ireland', 'ar Argentina']","[5, 1, 1, 1, 1, 1, 1]","[0.455, 0.091, 0.091, 0.091, 0.091, 0.091, 0.091]","[0.395, 0.016, 0.002, 0.034, 0.008, 0.011, 0.014]","[1.152, 5.688, 45.5, 2.676, 11.375, 8.273, 6.5]","[4.345, 0.176, 0.022, 0.374, 0.088, 0.121, 0.154]"
8,900,"['eng England', 'de Germany', 'kr Korea Republic', 'pt Portugal', 'eg Egypt', 'nir Northern Ireland', 'sct Scotland', 'ar Argentina']","[4, 1, 1, 1, 1, 1, 1, 1]","[0.364, 0.091, 0.091, 0.091, 0.091, 0.091, 0.091, 0.091]","[0.395, 0.016, 0.002, 0.034, 0.008, 0.011, 0.031, 0.014]","[0.922, 5.688, 45.5, 2.676, 11.375, 8.273, 2.935, 6.5]","[4.345, 0.176, 0.022, 0.374, 0.088, 0.121, 0.341, 0.154]"
9,950,"['eng England', 'kr Korea Republic', 'pt Portugal', 'eg Egypt', 'nir Northern Ireland', 'sct Scotland', 'ar Argentina']","[5, 1, 1, 1, 1, 1, 1]","[0.455, 0.091, 0.091, 0.091, 0.091, 0.091, 0.091]","[0.395, 0.002, 0.034, 0.008, 0.011, 0.031, 0.014]","[1.152, 45.5, 2.676, 11.375, 8.273, 2.935, 6.5]","[4.345, 0.022, 0.374, 0.088, 0.121, 0.341, 0.154]"
10,1000,"['eng England', 'kr Korea Republic', 'pt Portugal', 'eg Egypt', 'nir Northern Ireland', 'sct Scotland', 'ar Argentina']","[5, 1, 1, 1, 1, 1, 1]","[0.455, 0.091, 0.091, 0.091, 0.091, 0.091, 0.091]","[0.395, 0.002, 0.034, 0.008, 0.011, 0.031, 0.014]","[1.152, 45.5, 2.676, 11.375, 8.273, 2.935, 6.5]","[4.345, 0.022, 0.374, 0.088, 0.121, 0.341, 0.154]"
