,Budget interval,Best 50,Worst 50,All
0,450 to 500,"[38, 40, 22]","[2, 86, 12]","[28, 52, 20]"
1,500 to 550,"[50, 32, 18]","[2, 92, 6]","[44, 36, 20]"
2,550 to 600,"[88, 10, 2]","[28, 60, 12]","[62, 23, 15]"
3,600 to 650,"[96, 2, 2]","[50, 26, 24]","[71, 15, 13]"
4,650 to 700,"[100, 0, 0]","[50, 30, 20]","[74, 12, 14]"
5,700 to 750,"[100, 0, 0]","[18, 46, 36]","[75, 11, 14]"
6,750 to 800,"[98, 2, 0]","[48, 10, 42]","[76, 9, 15]"
7,800 to 850,"[100, 0, 0]","[14, 48, 38]","[76, 9, 15]"
8,850 to 900,"[98, 0, 2]","[32, 40, 28]","[75, 12, 13]"
9,900 to 950,"[100, 0, 0]","[70, 26, 4]","[69, 23, 9]"
10,950 to 1000,"[46, 48, 6]","[22, 62, 16]","[37, 50, 13]"
