,Budget interval,"Best 50 (Normal,Diverse)","All (Normal,Diverse)"
0,450 to 500,"[34, 66]","[60, 40]"
1,500 to 550,"[8, 92]","[27, 73]"
2,550 to 600,"[6, 94]","[47, 53]"
3,600 to 650,"[92, 8]","[92, 8]"
4,650 to 700,"[100, 0]","[95, 5]"
5,700 to 750,"[100, 0]","[82, 18]"
6,750 to 800,"[100, 0]","[50, 50]"
7,800 to 850,"[24, 76]","[7, 93]"
8,850 to 900,"[8, 92]","[1, 99]"
9,900 to 950,"[0, 100]","[0, 100]"
10,950 to 1000,"[0, 100]","[0, 100]"
