,Budget interval,Best 50,Worst 50,All
0,450 to 500,"[28, 42, 30]","[4, 46, 50]","[37, 40, 23]"
1,500 to 550,"[70, 20, 10]","[32, 36, 32]","[53, 28, 18]"
2,550 to 600,"[98, 0, 2]","[26, 54, 20]","[64, 22, 14]"
3,600 to 650,"[96, 0, 4]","[78, 14, 8]","[76, 12, 11]"
4,650 to 700,"[98, 0, 2]","[62, 18, 20]","[80, 9, 11]"
5,700 to 750,"[100, 0, 0]","[48, 20, 32]","[78, 9, 13]"
6,750 to 800,"[100, 0, 0]","[50, 12, 38]","[80, 8, 12]"
7,800 to 850,"[100, 0, 0]","[42, 18, 40]","[81, 8, 12]"
8,850 to 900,"[98, 0, 2]","[48, 24, 28]","[76, 11, 13]"
9,900 to 950,"[94, 4, 2]","[56, 42, 2]","[69, 24, 7]"
10,950 to 1000,"[33, 55, 12]","[33, 55, 12]","[33, 55, 12]"
