Budget,Best total cost,Best total points,Individual costs,Sorted individual costs,Id
500,500,1118,"[42, 52, 42, 47, 47, 52, 40, 43, 43, 44, 48]","[40, 42, 42, 43, 43, 44, 47, 47, 48, 52, 52]","[262, 344, 23, 105, 557, 449, 211, 16, 562, 201, 213]"
550,550,1458,"[57, 66, 47, 47, 52, 54, 43, 43, 44, 44, 53]","[43, 43, 44, 44, 47, 47, 52, 53, 54, 57, 66]","[377, 202, 105, 557, 449, 481, 16, 562, 201, 92, 12]"
600,600,1732,"[63, 66, 52, 54, 55, 56, 48, 48, 50, 55, 53]","[48, 48, 50, 52, 53, 54, 55, 55, 56, 63, 66]","[514, 202, 449, 481, 271, 203, 62, 558, 42, 200, 12]"
650,650,1828,"[63, 66, 52, 54, 56, 96, 48, 50, 55, 57, 53]","[48, 50, 52, 53, 54, 55, 56, 57, 63, 66, 96]","[514, 202, 449, 481, 203, 390, 62, 42, 200, 435, 12]"
700,700,1894,"[63, 66, 52, 56, 96, 113, 48, 48, 50, 55, 53]","[48, 48, 50, 52, 53, 55, 56, 63, 66, 96, 113]","[514, 202, 449, 203, 390, 302, 62, 558, 42, 200, 12]"
750,745,1966,"[63, 66, 55, 56, 96, 113, 55, 57, 58, 73, 53]","[53, 55, 55, 56, 57, 58, 63, 66, 73, 96, 113]","[514, 202, 271, 203, 390, 302, 200, 435, 313, 255, 12]"
800,800,2036,"[66, 119, 54, 56, 96, 113, 55, 57, 58, 73, 53]","[53, 54, 55, 56, 57, 58, 66, 73, 96, 113, 119]","[202, 388, 481, 203, 390, 302, 200, 435, 313, 255, 12]"
850,850,2084,"[66, 119, 54, 96, 113, 129, 50, 55, 57, 58, 53]","[50, 53, 54, 55, 57, 58, 66, 96, 113, 119, 129]","[202, 388, 481, 390, 302, 254, 42, 200, 435, 313, 12]"
900,895,2130,"[66, 119, 56, 96, 113, 129, 55, 57, 73, 78, 53]","[53, 55, 56, 57, 66, 73, 78, 96, 113, 119, 129]","[202, 388, 203, 390, 302, 254, 200, 435, 255, 259, 12]"
950,935,2144,"[66, 119, 96, 96, 113, 129, 55, 57, 73, 78, 53]","[53, 55, 57, 66, 73, 78, 96, 96, 113, 119, 129]","[202, 388, 390, 306, 302, 254, 200, 435, 255, 259, 12]"
1000,957,2146,"[66, 119, 96, 113, 118, 129, 55, 57, 73, 78, 53]","[53, 55, 57, 66, 73, 78, 96, 113, 118, 119, 129]","[202, 388, 390, 302, 251, 254, 200, 435, 255, 259, 12]"
