,Budget interval,Best 50,Worst 50,All
0,450 to 500,"[20, 42, 38]","[0, 92, 8]","[24, 55, 21]"
1,500 to 550,"[50, 34, 16]","[10, 64, 26]","[46, 35, 19]"
2,550 to 600,"[96, 0, 4]","[20, 52, 28]","[62, 23, 15]"
3,600 to 650,"[100, 0, 0]","[72, 14, 14]","[75, 13, 12]"
4,650 to 700,"[100, 0, 0]","[72, 12, 16]","[78, 10, 12]"
5,700 to 750,"[100, 0, 0]","[44, 28, 28]","[75, 11, 14]"
6,750 to 800,"[100, 0, 0]","[64, 12, 24]","[77, 9, 14]"
7,800 to 850,"[96, 2, 2]","[24, 24, 52]","[81, 7, 12]"
8,850 to 900,"[100, 0, 0]","[26, 30, 44]","[80, 7, 13]"
9,900 to 950,"[100, 0, 0]","[80, 14, 6]","[77, 13, 10]"
10,950 to 1000,"[60, 32, 8]","[20, 64, 16]","[41, 47, 12]"
