,Budget interval,Best 50,Worst 50,All
0,450 to 500,"[32, 30, 38]","[68, 24, 8]","[44, 30, 26]"
1,500 to 550,"[62, 18, 20]","[80, 8, 12]","[55, 23, 22]"
2,550 to 600,"[98, 0, 2]","[90, 0, 10]","[64, 20, 16]"
3,600 to 650,"[96, 2, 2]","[88, 0, 12]","[73, 15, 13]"
4,650 to 700,"[100, 0, 0]","[82, 2, 16]","[77, 11, 11]"
5,700 to 750,"[100, 0, 0]","[82, 10, 8]","[78, 9, 13]"
6,750 to 800,"[94, 4, 2]","[88, 4, 8]","[72, 13, 16]"
7,800 to 850,"[94, 0, 6]","[36, 36, 28]","[66, 19, 15]"
8,850 to 900,"[80, 10, 10]","[20, 46, 34]","[45, 29, 26]"
9,900 to 950,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
10,950 to 1000,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
