,Budget interval,"Best 50 (Normal,Diverse)","All (Normal,Diverse)"
0,450 to 500,"[14, 86]","[49, 51]"
1,500 to 550,"[18, 82]","[23, 77]"
2,550 to 600,"[24, 76]","[62, 38]"
3,600 to 650,"[100, 0]","[96, 4]"
4,650 to 700,"[100, 0]","[98, 2]"
5,700 to 750,"[100, 0]","[94, 6]"
6,750 to 800,"[98, 2]","[65, 35]"
7,800 to 850,"[64, 36]","[25, 75]"
8,850 to 900,"[6, 94]","[1, 99]"
9,900 to 950,"[0, 100]","[0, 100]"
10,950 to 1000,"[0, 100]","[0, 100]"
