total_points,now_cost,indexes
50,135,"[186, 628, 627]"
131,136,"[186, 628, 548]"
129,136,"[186, 627, 548]"
91,136,"[186, 628, 72]"
89,136,"[186, 627, 72]"
89,136,"[628, 627, 548]"
49,136,"[628, 627, 72]"
170,137,"[186, 548, 72]"
130,137,"[628, 548, 72]"
128,137,"[627, 548, 72]"
121,138,"[186, 628, 347]"
119,138,"[186, 627, 347]"
79,138,"[628, 627, 347]"
200,139,"[186, 548, 347]"
160,139,"[186, 72, 347]"
160,139,"[628, 548, 347]"
158,139,"[627, 548, 347]"
136,139,"[186, 628, 159]"
134,139,"[186, 627, 159]"
120,139,"[628, 72, 347]"
118,139,"[627, 72, 347]"
94,139,"[628, 627, 159]"
215,140,"[186, 548, 159]"
199,140,"[548, 72, 347]"
175,140,"[186, 72, 159]"
175,140,"[628, 548, 159]"
173,140,"[627, 548, 159]"
142,140,"[186, 628, 187]"
140,140,"[186, 627, 187]"
135,140,"[628, 72, 159]"
133,140,"[627, 72, 159]"
100,140,"[628, 627, 187]"
221,141,"[186, 548, 187]"
214,141,"[548, 72, 159]"
181,141,"[186, 72, 187]"
181,141,"[628, 548, 187]"
179,141,"[627, 548, 187]"
141,141,"[628, 72, 187]"
139,141,"[627, 72, 187]"
220,142,"[548, 72, 187]"
205,142,"[186, 347, 159]"
165,142,"[628, 347, 159]"
163,142,"[627, 347, 159]"
147,142,"[186, 628, 348]"
145,142,"[186, 627, 348]"
105,142,"[628, 627, 348]"
244,143,"[548, 347, 159]"
226,143,"[186, 548, 348]"
211,143,"[186, 347, 187]"
204,143,"[72, 347, 159]"
186,143,"[186, 72, 348]"
186,143,"[628, 548, 348]"
184,143,"[627, 548, 348]"
171,143,"[628, 347, 187]"
169,143,"[627, 347, 187]"
146,143,"[628, 72, 348]"
144,143,"[627, 72, 348]"
140,143,"[186, 628, 93]"
138,143,"[186, 627, 93]"
98,143,"[628, 627, 93]"
250,144,"[548, 347, 187]"
226,144,"[186, 159, 187]"
225,144,"[548, 72, 348]"
219,144,"[186, 548, 93]"
210,144,"[72, 347, 187]"
186,144,"[628, 159, 187]"
184,144,"[627, 159, 187]"
179,144,"[186, 72, 93]"
179,144,"[628, 548, 93]"
177,144,"[627, 548, 93]"
157,144,"[186, 628, 437]"
156,144,"[186, 628, 373]"
155,144,"[186, 627, 437]"
154,144,"[186, 627, 373]"
139,144,"[628, 72, 93]"
137,144,"[627, 72, 93]"
115,144,"[628, 627, 437]"
114,144,"[628, 627, 373]"
265,145,"[548, 159, 187]"
236,145,"[186, 548, 437]"
235,145,"[186, 548, 373]"
225,145,"[72, 159, 187]"
218,145,"[548, 72, 93]"
216,145,"[186, 347, 348]"
196,145,"[186, 72, 437]"
196,145,"[628, 548, 437]"
195,145,"[186, 72, 373]"
195,145,"[628, 548, 373]"
194,145,"[627, 548, 437]"
193,145,"[627, 548, 373]"
176,145,"[628, 347, 348]"
174,145,"[627, 347, 348]"
172,145,"[186, 628, 302]"
170,145,"[186, 627, 302]"
156,145,"[628, 72, 437]"
155,145,"[628, 72, 373]"
154,145,"[627, 72, 437]"
153,145,"[627, 72, 373]"
130,145,"[628, 627, 302]"
255,146,"[548, 347, 348]"
251,146,"[186, 548, 302]"
235,146,"[548, 72, 437]"
234,146,"[548, 72, 373]"
231,146,"[186, 159, 348]"
215,146,"[72, 347, 348]"
211,146,"[186, 72, 302]"
211,146,"[628, 548, 302]"
209,146,"[186, 347, 93]"
209,146,"[627, 548, 302]"
191,146,"[628, 159, 348]"
189,146,"[627, 159, 348]"
171,146,"[628, 72, 302]"
169,146,"[628, 347, 93]"
169,146,"[627, 72, 302]"
167,146,"[627, 347, 93]"
270,147,"[548, 159, 348]"
255,147,"[347, 159, 187]"
250,147,"[548, 72, 302]"
248,147,"[548, 347, 93]"
237,147,"[186, 187, 348]"
230,147,"[72, 159, 348]"
226,147,"[186, 347, 437]"
225,147,"[186, 347, 373]"
224,147,"[186, 159, 93]"
208,147,"[72, 347, 93]"
197,147,"[628, 187, 348]"
195,147,"[627, 187, 348]"
186,147,"[628, 347, 437]"
185,147,"[628, 347, 373]"
184,147,"[628, 159, 93]"
184,147,"[627, 347, 437]"
183,147,"[627, 347, 373]"
182,147,"[627, 159, 93]"
276,148,"[548, 187, 348]"
265,148,"[548, 347, 437]"
264,148,"[548, 347, 373]"
263,148,"[548, 159, 93]"
241,148,"[186, 347, 302]"
241,148,"[186, 159, 437]"
240,148,"[186, 159, 373]"
236,148,"[72, 187, 348]"
230,148,"[186, 187, 93]"
225,148,"[72, 347, 437]"
224,148,"[72, 347, 373]"
223,148,"[72, 159, 93]"
201,148,"[628, 347, 302]"
201,148,"[628, 159, 437]"
200,148,"[628, 159, 373]"
199,148,"[627, 347, 302]"
199,148,"[627, 159, 437]"
198,148,"[627, 159, 373]"
190,148,"[628, 187, 93]"
188,148,"[627, 187, 93]"
280,149,"[548, 347, 302]"
280,149,"[548, 159, 437]"
279,149,"[548, 159, 373]"
269,149,"[548, 187, 93]"
260,149,"[347, 159, 348]"
256,149,"[186, 159, 302]"
247,149,"[186, 187, 437]"
246,149,"[186, 187, 373]"
240,149,"[72, 347, 302]"
240,149,"[72, 159, 437]"
239,149,"[72, 159, 373]"
229,149,"[72, 187, 93]"
216,149,"[628, 159, 302]"
214,149,"[627, 159, 302]"
207,149,"[628, 187, 437]"
206,149,"[628, 187, 373]"
205,149,"[627, 187, 437]"
204,149,"[627, 187, 373]"
159,149,"[186, 628, 71]"
157,149,"[186, 627, 71]"
117,149,"[628, 627, 71]"
295,150,"[548, 159, 302]"
286,150,"[548, 187, 437]"
285,150,"[548, 187, 373]"
266,150,"[347, 187, 348]"
262,150,"[186, 187, 302]"
255,150,"[72, 159, 302]"
253,150,"[347, 159, 93]"
246,150,"[72, 187, 437]"
245,150,"[72, 187, 373]"
238,150,"[186, 548, 71]"
235,150,"[186, 348, 93]"
