Budget,Best total cost,Best total points,Individual costs,Sorted individual costs,Id
500,500,1262,"[43, 51, 43, 44, 45, 41, 46, 46, 47, 50, 44]","[41, 43, 43, 44, 44, 45, 46, 46, 47, 50, 51]","[70, 468, 470, 420, 287, 358, 297, 423, 295, 294, 494]"
550,549,1477,"[51, 57, 44, 45, 59, 46, 46, 47, 50, 52, 52]","[44, 45, 46, 46, 47, 50, 51, 52, 52, 57, 59]","[468, 502, 420, 287, 29, 297, 423, 295, 294, 291, 93]"
600,599,1631,"[51, 76, 44, 45, 59, 46, 47, 50, 52, 77, 52]","[44, 45, 46, 47, 50, 51, 52, 52, 59, 76, 77]","[468, 313, 420, 287, 29, 297, 295, 294, 291, 182, 93]"
650,649,1750,"[51, 76, 45, 59, 106, 46, 47, 50, 52, 65, 52]","[45, 46, 47, 50, 51, 52, 52, 59, 65, 76, 106]","[468, 313, 287, 29, 215, 297, 295, 294, 291, 183, 93]"
700,700,1869,"[51, 76, 45, 85, 106, 46, 47, 50, 65, 77, 52]","[45, 46, 47, 50, 51, 52, 65, 76, 77, 85, 106]","[468, 313, 287, 239, 215, 297, 295, 294, 183, 182, 93]"
750,748,1978,"[76, 80, 59, 85, 106, 46, 50, 52, 65, 77, 52]","[46, 50, 52, 52, 59, 65, 76, 77, 80, 85, 106]","[313, 409, 29, 239, 215, 297, 294, 291, 183, 182, 93]"
800,795,2061,"[76, 80, 73, 85, 106, 46, 65, 65, 70, 77, 52]","[46, 52, 65, 65, 70, 73, 76, 77, 80, 85, 106]","[313, 409, 113, 239, 215, 297, 183, 401, 181, 182, 93]"
850,847,2126,"[76, 80, 85, 106, 125, 46, 65, 65, 70, 77, 52]","[46, 52, 65, 65, 70, 76, 77, 80, 85, 106, 125]","[313, 409, 239, 215, 191, 297, 183, 401, 181, 182, 93]"
900,900,2163,"[76, 97, 106, 121, 125, 46, 65, 65, 70, 77, 52]","[46, 52, 65, 65, 70, 76, 77, 97, 106, 121, 125]","[313, 166, 215, 192, 191, 297, 183, 401, 181, 182, 93]"
950,933,2170,"[97, 109, 106, 121, 125, 46, 65, 65, 70, 77, 52]","[46, 52, 65, 65, 70, 77, 97, 106, 109, 121, 125]","[166, 11, 215, 192, 191, 297, 183, 401, 181, 182, 93]"
1000,933,2170,"[97, 109, 106, 121, 125, 46, 65, 65, 70, 77, 52]","[46, 52, 65, 65, 70, 77, 97, 106, 109, 121, 125]","[166, 11, 215, 192, 191, 297, 183, 401, 181, 182, 93]"
