,Budget interval,Best 50,Worst 50,All
0,450 to 500,"[62, 2, 36]","[98, 0, 2]","[78, 11, 11]"
1,500 to 550,"[46, 14, 40]","[100, 0, 0]","[72, 15, 14]"
2,550 to 600,"[42, 36, 22]","[100, 0, 0]","[80, 10, 10]"
3,600 to 650,"[64, 24, 12]","[74, 20, 6]","[89, 5, 6]"
4,650 to 700,"[76, 18, 6]","[94, 2, 4]","[94, 3, 3]"
5,700 to 750,"[100, 0, 0]","[100, 0, 0]","[99, 0, 1]"
6,750 to 800,"[100, 0, 0]","[100, 0, 0]","[100, 0, 0]"
7,800 to 850,"[100, 0, 0]","[100, 0, 0]","[100, 0, 0]"
8,850 to 900,"[100, 0, 0]","[100, 0, 0]","[100, 0, 0]"
9,900 to 950,"[100, 0, 0]","[100, 0, 0]","[100, 0, 0]"
10,950 to 1000,"[100, 0, 0]","[100, 0, 0]","[100, 0, 0]"
