,Budget interval,Best 50,Worst 50,All
0,450 to 500,"[52, 12, 36]","[84, 6, 10]","[78, 12, 10]"
1,500 to 550,"[42, 24, 34]","[90, 2, 8]","[69, 18, 13]"
2,550 to 600,"[36, 40, 24]","[94, 0, 6]","[72, 17, 11]"
3,600 to 650,"[72, 20, 8]","[96, 2, 2]","[79, 12, 9]"
4,650 to 700,"[42, 50, 8]","[98, 2, 0]","[87, 8, 5]"
5,700 to 750,"[96, 0, 4]","[94, 2, 4]","[93, 4, 3]"
6,750 to 800,"[100, 0, 0]","[100, 0, 0]","[95, 3, 2]"
7,800 to 850,"[100, 0, 0]","[92, 0, 8]","[94, 4, 2]"
8,850 to 900,"[100, 0, 0]","[98, 0, 2]","[96, 2, 2]"
9,900 to 950,"[100, 0, 0]","[100, 0, 0]","[99, 0, 1]"
10,950 to 1000,"[100, 0, 0]","[100, 0, 0]","[100, 0, 0]"
