,Budget interval,"Best 50 (Normal,Diverse)","All (Normal,Diverse)"
0,450 to 500,"[4, 96]","[39, 61]"
1,500 to 550,"[60, 40]","[68, 32]"
2,550 to 600,"[82, 18]","[79, 21]"
3,600 to 650,"[14, 86]","[63, 37]"
4,650 to 700,"[50, 50]","[50, 50]"
5,700 to 750,"[0, 100]","[32, 68]"
6,750 to 800,"[0, 100]","[15, 85]"
7,800 to 850,"[2, 98]","[2, 98]"
8,850 to 900,"[2, 98]","[1, 99]"
9,900 to 950,"[0, 100]","[0, 100]"
10,950 to 1000,"[0, 100]","[0, 100]"
