,Budget interval,Best 50,Worst 50,All
0,450 to 500,"[66, 0, 34]","[92, 2, 6]","[86, 6, 8]"
1,500 to 550,"[40, 32, 28]","[94, 4, 2]","[74, 13, 13]"
2,550 to 600,"[38, 24, 38]","[94, 0, 6]","[75, 14, 12]"
3,600 to 650,"[58, 22, 20]","[90, 4, 6]","[78, 12, 9]"
4,650 to 700,"[40, 56, 4]","[90, 6, 4]","[84, 9, 7]"
5,700 to 750,"[88, 10, 2]","[94, 0, 6]","[85, 9, 6]"
6,750 to 800,"[100, 0, 0]","[98, 0, 2]","[83, 11, 6]"
7,800 to 850,"[98, 0, 2]","[100, 0, 0]","[83, 11, 6]"
8,850 to 900,"[98, 0, 2]","[100, 0, 0]","[86, 8, 6]"
9,900 to 950,"[96, 0, 4]","[86, 6, 8]","[93, 3, 4]"
10,950 to 1000,"[100, 0, 0]","[100, 0, 0]","[100, 0, 0]"
