,Budget interval,"Best 50 (Normal,Diverse)","All (Normal,Diverse)"
0,450 to 500,"[12, 88]","[48, 52]"
1,500 to 550,"[32, 68]","[67, 33]"
2,550 to 600,"[70, 30]","[77, 23]"
3,600 to 650,"[38, 62]","[71, 29]"
4,650 to 700,"[46, 54]","[54, 46]"
5,700 to 750,"[2, 98]","[31, 69]"
6,750 to 800,"[0, 100]","[12, 88]"
7,800 to 850,"[12, 88]","[2, 98]"
8,850 to 900,"[2, 98]","[1, 99]"
9,900 to 950,"[0, 100]","[0, 100]"
10,950 to 1000,"[0, 100]","[0, 100]"
