,Budget interval,"Best 50 (Normal,Diverse)","All (Normal,Diverse)"
0,450 to 500,"[44, 56]","[80, 20]"
1,500 to 550,"[74, 26]","[81, 19]"
2,550 to 600,"[100, 0]","[90, 10]"
3,600 to 650,"[78, 22]","[81, 19]"
4,650 to 700,"[80, 20]","[75, 25]"
5,700 to 750,"[72, 28]","[68, 32]"
6,750 to 800,"[18, 82]","[65, 35]"
7,800 to 850,"[14, 86]","[61, 39]"
8,850 to 900,"[22, 78]","[52, 48]"
9,900 to 950,"[6, 94]","[49, 51]"
10,950 to 1000,"[4, 96]","[45, 55]"
