,Budget interval,"Best 50 (Normal,Diverse)","All (Normal,Diverse)"
0,450 to 500,"[10, 90]","[53, 47]"
1,500 to 550,"[50, 50]","[73, 27]"
2,550 to 600,"[72, 28]","[81, 19]"
3,600 to 650,"[30, 70]","[70, 30]"
4,650 to 700,"[46, 54]","[67, 33]"
5,700 to 750,"[0, 100]","[49, 51]"
6,750 to 800,"[2, 98]","[28, 72]"
7,800 to 850,"[0, 100]","[10, 90]"
8,850 to 900,"[0, 100]","[0, 100]"
9,900 to 950,"[0, 100]","[0, 100]"
10,950 to 1000,"[0, 0]","[0, 0]"
