,Budget interval,Best 50,Worst 50,All
0,450 to 500,"[76, 0, 24]","[100, 0, 0]","[86, 6, 8]"
1,500 to 550,"[54, 4, 42]","[100, 0, 0]","[78, 10, 12]"
2,550 to 600,"[84, 6, 10]","[100, 0, 0]","[81, 9, 10]"
3,600 to 650,"[92, 0, 8]","[100, 0, 0]","[92, 4, 5]"
4,650 to 700,"[90, 0, 10]","[100, 0, 0]","[98, 1, 2]"
5,700 to 750,"[100, 0, 0]","[100, 0, 0]","[100, 0, 0]"
6,750 to 800,"[100, 0, 0]","[100, 0, 0]","[100, 0, 0]"
7,800 to 850,"[100, 0, 0]","[100, 0, 0]","[100, 0, 0]"
8,850 to 900,"[100, 0, 0]","[100, 0, 0]","[100, 0, 0]"
9,900 to 950,"[100, 0, 0]","[100, 0, 0]","[100, 0, 0]"
10,950 to 1000,"[100, 0, 0]","[100, 0, 0]","[100, 0, 0]"
