Budget,Best total cost,Best total points,Individual costs,Formation
500,584,1352,"[44, 44, 45, 45, 46, 47, 49, 51, 65, 73, 75]","[3, 5, 2]"
550,591,1242,"[40, 40, 45, 47, 49, 51, 52, 54, 65, 73, 75]","[3, 5, 2]"
600,668,1479,"[40, 45, 46, 49, 51, 51, 52, 65, 73, 75, 121]","[3, 5, 2]"
650,663,1447,"[40, 44, 45, 46, 51, 51, 52, 65, 73, 75, 121]","[3, 5, 2]"
700,663,1447,"[40, 44, 45, 46, 51, 51, 52, 65, 73, 75, 121]","[3, 5, 2]"
750,663,1447,"[40, 44, 45, 46, 51, 51, 52, 65, 73, 75, 121]","[3, 5, 2]"
800,663,1447,"[40, 44, 45, 46, 51, 51, 52, 65, 73, 75, 121]","[3, 5, 2]"
850,663,1447,"[40, 44, 45, 46, 51, 51, 52, 65, 73, 75, 121]","[3, 5, 2]"
900,663,1447,"[40, 44, 45, 46, 51, 51, 52, 65, 73, 75, 121]","[3, 5, 2]"
950,663,1447,"[40, 44, 45, 46, 51, 51, 52, 65, 73, 75, 121]","[3, 5, 2]"
1000,663,1447,"[40, 44, 45, 46, 51, 51, 52, 65, 73, 75, 121]","[3, 5, 2]"
