Budget,Best total cost,Best total points,Individual costs
500,500,1238,"[43, 43, 44, 44, 44, 45, 46, 46, 47, 47, 51]"
550,550,1459,"[44, 45, 46, 47, 47, 50, 51, 52, 52, 57, 59]"
600,599,1605,"[44, 45, 46, 47, 50, 51, 52, 52, 59, 76, 77]"
650,650,1734,"[44, 45, 46, 50, 51, 52, 59, 65, 76, 77, 85]"
700,700,1853,"[45, 46, 50, 51, 52, 59, 65, 73, 76, 77, 106]"
750,749,1957,"[46, 47, 52, 56, 59, 65, 76, 77, 80, 85, 106]"
800,789,2043,"[46, 52, 59, 65, 70, 73, 76, 77, 80, 85, 106]"
850,850,2113,"[46, 52, 65, 65, 73, 76, 77, 80, 85, 106, 125]"
900,898,2166,"[46, 52, 65, 65, 76, 77, 80, 85, 106, 121, 125]"
950,939,2219,"[52, 65, 65, 70, 76, 77, 85, 97, 106, 121, 125]"
1000,972,2226,"[52, 65, 65, 70, 77, 85, 97, 106, 109, 121, 125]"
