,Budget,Best total cost,Best total points,Sorted individual costs,Individual costs
0,500,500,1320,"[41, 43, 44, 44, 45, 45, 46, 46, 47, 47, 52]","[52, 46, 47, 47, 44, 46, 45, 45, 44, 43, 41]"
1,550,549,1573,"[44, 46, 46, 47, 47, 49, 50, 51, 52, 52, 65]","[65, 52, 46, 51, 52, 50, 49, 47, 47, 44, 46]"
2,600,600,1699,"[44, 46, 47, 47, 49, 51, 52, 52, 65, 70, 77]","[77, 70, 65, 52, 46, 51, 52, 49, 47, 47, 44]"
3,600,598,1699,"[44, 46, 47, 47, 49, 50, 51, 52, 65, 70, 77]","[77, 70, 65, 52, 46, 51, 50, 49, 47, 47, 44]"
4,650,650,1805,"[46, 47, 49, 51, 52, 52, 65, 65, 70, 76, 77]","[77, 76, 70, 65, 52, 65, 46, 51, 52, 49, 47]"
5,650,648,1805,"[46, 47, 49, 50, 51, 52, 65, 65, 70, 76, 77]","[77, 76, 70, 65, 52, 65, 46, 51, 50, 49, 47]"
6,700,700,1904,"[44, 46, 49, 50, 52, 65, 65, 70, 76, 77, 106]","[106, 77, 76, 70, 65, 52, 65, 46, 50, 49, 44]"
7,700,700,1904,"[46, 47, 47, 49, 52, 65, 65, 70, 76, 77, 106]","[106, 77, 76, 70, 65, 52, 65, 46, 49, 47, 47]"
8,750,750,1990,"[46, 47, 51, 52, 65, 65, 76, 77, 80, 85, 106]","[106, 77, 85, 76, 80, 65, 52, 65, 46, 51, 47]"
9,800,800,2065,"[46, 51, 52, 65, 65, 76, 77, 80, 85, 97, 106]","[106, 97, 77, 85, 76, 80, 65, 52, 65, 46, 51]"
10,850,846,2127,"[52, 65, 65, 70, 73, 76, 77, 80, 85, 97, 106]","[106, 97, 77, 85, 76, 80, 70, 65, 52, 73, 65]"
11,900,898,2192,"[52, 65, 65, 70, 76, 77, 80, 85, 97, 106, 125]","[106, 125, 97, 77, 85, 76, 80, 70, 65, 52, 65]"
12,950,949,2232,"[52, 65, 65, 76, 77, 80, 85, 97, 106, 121, 125]","[106, 125, 121, 97, 77, 85, 76, 80, 65, 52, 65]"
13,1000,998,2273,"[52, 70, 76, 77, 80, 85, 97, 106, 109, 121, 125]","[106, 125, 121, 97, 77, 109, 85, 76, 80, 70, 52]"
