Budget,Best total cost,Best total points,Individual costs
500,585,1284,"[42, 44, 44, 45, 45, 47, 49, 51, 65, 73, 80]"
550,608,1224,"[40, 40, 42, 45, 49, 51, 52, 65, 73, 75, 76]"
600,733,1625,"[40, 45, 46, 51, 52, 65, 73, 75, 76, 89, 121]"
650,753,1653,"[40, 45, 46, 51, 52, 65, 73, 75, 76, 109, 121]"
700,722,1587,"[40, 44, 45, 46, 51, 52, 65, 73, 76, 109, 121]"
750,735,1566,"[40, 44, 45, 46, 51, 52, 65, 73, 89, 109, 121]"
800,735,1566,"[40, 44, 45, 46, 51, 52, 65, 73, 89, 109, 121]"
850,735,1566,"[40, 44, 45, 46, 51, 52, 65, 73, 89, 109, 121]"
900,735,1566,"[40, 44, 45, 46, 51, 52, 65, 73, 89, 109, 121]"
950,735,1566,"[40, 44, 45, 46, 51, 52, 65, 73, 89, 109, 121]"
1000,735,1566,"[40, 44, 45, 46, 51, 52, 65, 73, 89, 109, 121]"
