,Budget,Nation,Count,Team percentage,League percentage,Ratio,Amount as dist
0,500,"['fr France', 'br Brazil', 'be Belgium', 'eng England', 'ie Republic of Ireland']","[1, 1, 1, 7, 1]","[0.091, 0.091, 0.091, 0.636, 0.091]","[0.044, 0.037, 0.02, 0.386, 0.047]","[2.068, 2.459, 4.55, 1.648, 1.936]","[0.484, 0.407, 0.22, 4.246, 0.517]"
1,550,"['gh Ghana', 'be Belgium', 'eng England', 'es Spain', 'ie Republic of Ireland']","[1, 1, 6, 1, 2]","[0.091, 0.091, 0.545, 0.091, 0.182]","[0.005, 0.02, 0.386, 0.054, 0.047]","[18.2, 4.55, 1.412, 1.685, 3.872]","[0.055, 0.22, 4.246, 0.594, 0.517]"
2,600,"['gh Ghana', 'eng England', 'be Belgium', 'ie Republic of Ireland']","[1, 7, 1, 2]","[0.091, 0.636, 0.091, 0.182]","[0.005, 0.386, 0.02, 0.047]","[18.2, 1.648, 4.55, 3.872]","[0.055, 4.246, 0.22, 0.517]"
3,650,"['gh Ghana', 'eng England', 'be Belgium', 'ie Republic of Ireland', 'nl Netherlands']","[1, 6, 1, 2, 1]","[0.091, 0.545, 0.091, 0.182, 0.091]","[0.005, 0.386, 0.02, 0.047, 0.034]","[18.2, 1.412, 4.55, 3.872, 2.676]","[0.055, 4.246, 0.22, 0.517, 0.374]"
4,700,"['gh Ghana', 'eng England', 'fr France', 'be Belgium', 'ie Republic of Ireland', 'nl Netherlands']","[1, 6, 1, 1, 1, 1]","[0.091, 0.545, 0.091, 0.091, 0.091, 0.091]","[0.005, 0.386, 0.044, 0.02, 0.047, 0.034]","[18.2, 1.412, 2.068, 4.55, 1.936, 2.676]","[0.055, 4.246, 0.484, 0.22, 0.517, 0.374]"
5,750,"['eng England', 'mx Mexico', 'fr France', 'be Belgium', 'ie Republic of Ireland', 'nl Netherlands']","[6, 1, 1, 1, 1, 1]","[0.545, 0.091, 0.091, 0.091, 0.091, 0.091]","[0.386, 0.003, 0.044, 0.02, 0.047, 0.034]","[1.412, 30.333, 2.068, 4.55, 1.936, 2.676]","[4.246, 0.033, 0.484, 0.22, 0.517, 0.374]"
6,800,"['eng England', 'mx Mexico', 'br Brazil', 'fr France', 'be Belgium', 'nl Netherlands', 'ie Republic of Ireland', 'sct Scotland']","[4, 1, 1, 1, 1, 1, 1, 1]","[0.364, 0.091, 0.091, 0.091, 0.091, 0.091, 0.091, 0.091]","[0.386, 0.003, 0.037, 0.044, 0.02, 0.034, 0.047, 0.028]","[0.943, 30.333, 2.459, 2.068, 4.55, 2.676, 1.936, 3.25]","[4.246, 0.033, 0.407, 0.484, 0.22, 0.374, 0.517, 0.308]"
7,850,"['eng England', 'mx Mexico', 'br Brazil', 'fr France', 'be Belgium', 'nl Netherlands', 'ie Republic of Ireland', 'sct Scotland']","[4, 1, 1, 1, 1, 1, 1, 1]","[0.364, 0.091, 0.091, 0.091, 0.091, 0.091, 0.091, 0.091]","[0.386, 0.003, 0.037, 0.044, 0.02, 0.034, 0.047, 0.028]","[0.943, 30.333, 2.459, 2.068, 4.55, 2.676, 1.936, 3.25]","[4.246, 0.033, 0.407, 0.484, 0.22, 0.374, 0.517, 0.308]"
8,900,"['eng England', 'mx Mexico', 'fr France', 'be Belgium', 'eg Egypt', 'nl Netherlands', 'ie Republic of Ireland', 'sct Scotland']","[4, 1, 1, 1, 1, 1, 1, 1]","[0.364, 0.091, 0.091, 0.091, 0.091, 0.091, 0.091, 0.091]","[0.386, 0.003, 0.044, 0.02, 0.005, 0.034, 0.047, 0.028]","[0.943, 30.333, 2.068, 4.55, 18.2, 2.676, 1.936, 3.25]","[4.246, 0.033, 0.484, 0.22, 0.055, 0.374, 0.517, 0.308]"
9,950,"['eng England', 'mx Mexico', 'fr France', 'be Belgium', 'sn Senegal', 'eg Egypt', 'nl Netherlands', 'ie Republic of Ireland']","[4, 1, 1, 1, 1, 1, 1, 1]","[0.364, 0.091, 0.091, 0.091, 0.091, 0.091, 0.091, 0.091]","[0.386, 0.003, 0.044, 0.02, 0.008, 0.005, 0.034, 0.047]","[0.943, 30.333, 2.068, 4.55, 11.375, 18.2, 2.676, 1.936]","[4.246, 0.033, 0.484, 0.22, 0.088, 0.055, 0.374, 0.517]"
10,1000,"['eng England', 'ga Gabon', 'fr France', 'be Belgium', 'sn Senegal', 'eg Egypt', 'nl Netherlands', 'sct Scotland']","[4, 1, 1, 1, 1, 1, 1, 1]","[0.364, 0.091, 0.091, 0.091, 0.091, 0.091, 0.091, 0.091]","[0.386, 0.002, 0.044, 0.02, 0.008, 0.005, 0.034, 0.028]","[0.943, 45.5, 2.068, 4.55, 11.375, 18.2, 2.676, 3.25]","[4.246, 0.022, 0.484, 0.22, 0.088, 0.055, 0.374, 0.308]"
