,Budget interval,"Best 50 (Normal,Diverse)","All (Normal,Diverse)"
0,450 to 500,"[36, 64]","[80, 20]"
1,500 to 550,"[82, 18]","[82, 18]"
2,550 to 600,"[100, 0]","[91, 9]"
3,600 to 650,"[76, 24]","[84, 16]"
4,650 to 700,"[86, 14]","[81, 19]"
5,700 to 750,"[66, 34]","[76, 24]"
6,750 to 800,"[26, 74]","[72, 28]"
7,800 to 850,"[38, 62]","[64, 36]"
8,850 to 900,"[24, 76]","[57, 43]"
9,900 to 950,"[14, 86]","[48, 52]"
10,950 to 1000,"[53, 47]","[53, 47]"
