,Budget interval,Best 50,Worst 50,All
0,450 to 500,"[72, 4, 24]","[100, 0, 0]","[88, 5, 7]"
1,500 to 550,"[54, 24, 22]","[96, 0, 4]","[79, 9, 12]"
2,550 to 600,"[66, 14, 20]","[100, 0, 0]","[81, 9, 10]"
3,600 to 650,"[72, 20, 8]","[98, 2, 0]","[86, 6, 8]"
4,650 to 700,"[66, 28, 6]","[100, 0, 0]","[89, 5, 6]"
5,700 to 750,"[98, 0, 2]","[98, 2, 0]","[90, 4, 5]"
6,750 to 800,"[100, 0, 0]","[100, 0, 0]","[88, 6, 6]"
7,800 to 850,"[98, 0, 2]","[100, 0, 0]","[88, 6, 6]"
8,850 to 900,"[94, 2, 4]","[100, 0, 0]","[94, 2, 4]"
9,900 to 950,"[100, 0, 0]","[100, 0, 0]","[100, 0, 0]"
10,950 to 1000,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
