Budget,Best total cost,Best total points,Individual costs,Id
500,500,1269,"[43, 43, 44, 44, 45, 45, 46, 46, 47, 47, 50]","[70, 470, 420, 287, 395, 293, 297, 423, 295, 294, 494]"
550,550,1481,"[44, 45, 46, 47, 48, 50, 51, 52, 52, 56, 59]","[468, 420, 287, 417, 29, 297, 295, 42, 294, 291, 93]"
600,600,1615,"[45, 46, 47, 50, 51, 52, 52, 56, 59, 65, 77]","[468, 287, 198, 417, 29, 297, 295, 294, 183, 182, 93]"
650,649,1740,"[45, 46, 47, 47, 50, 52, 59, 65, 76, 77, 85]","[313, 287, 395, 29, 239, 297, 295, 294, 183, 182, 93]"
700,699,1855,"[45, 46, 47, 52, 56, 59, 65, 70, 76, 77, 106]","[313, 287, 417, 29, 215, 297, 295, 183, 181, 182, 93]"
750,746,1960,"[46, 50, 52, 59, 60, 65, 70, 76, 77, 85, 106]","[313, 29, 463, 239, 215, 297, 294, 183, 181, 182, 93]"
800,797,2032,"[46, 52, 65, 65, 70, 73, 76, 77, 82, 85, 106]","[313, 113, 150, 239, 215, 297, 183, 401, 181, 182, 93]"
850,840,2100,"[46, 52, 65, 65, 70, 73, 76, 77, 85, 106, 125]","[313, 113, 239, 215, 191, 297, 183, 401, 181, 182, 93]"
900,888,2153,"[46, 52, 65, 65, 70, 76, 77, 85, 106, 121, 125]","[313, 239, 215, 192, 191, 297, 183, 401, 181, 182, 93]"
950,944,2169,"[46, 52, 65, 65, 70, 77, 97, 106, 120, 121, 125]","[166, 215, 214, 192, 191, 297, 183, 401, 181, 182, 93]"
1000,944,2169,"[46, 52, 65, 65, 70, 77, 97, 106, 120, 121, 125]","[166, 215, 214, 192, 191, 297, 183, 401, 181, 182, 93]"
