,Budget interval,Best 50,Worst 50,All
0,450 to 500,"[78, 0, 22]","[100, 0, 0]","[90, 4, 6]"
1,500 to 550,"[76, 4, 20]","[100, 0, 0]","[79, 9, 12]"
2,550 to 600,"[90, 0, 10]","[98, 0, 2]","[79, 11, 10]"
3,600 to 650,"[94, 2, 4]","[100, 0, 0]","[90, 4, 6]"
4,650 to 700,"[90, 0, 10]","[100, 0, 0]","[96, 1, 2]"
5,700 to 750,"[100, 0, 0]","[100, 0, 0]","[99, 0, 1]"
6,750 to 800,"[98, 0, 2]","[100, 0, 0]","[99, 0, 1]"
7,800 to 850,"[98, 0, 2]","[100, 0, 0]","[99, 1, 1]"
8,850 to 900,"[100, 0, 0]","[100, 0, 0]","[100, 0, 0]"
9,900 to 950,"[100, 0, 0]","[100, 0, 0]","[100, 0, 0]"
10,950 to 1000,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
