,Budget interval,"Best 50 (Normal,Diverse)","All (Normal,Diverse)"
0,450 to 500,"[12, 88]","[39, 61]"
1,500 to 550,"[30, 70]","[65, 35]"
2,550 to 600,"[76, 24]","[72, 28]"
3,600 to 650,"[32, 68]","[65, 35]"
4,650 to 700,"[42, 58]","[48, 52]"
5,700 to 750,"[0, 100]","[24, 76]"
6,750 to 800,"[0, 100]","[9, 91]"
7,800 to 850,"[4, 96]","[1, 99]"
8,850 to 900,"[10, 90]","[1, 99]"
9,900 to 950,"[0, 100]","[0, 100]"
10,950 to 1000,"[0, 100]","[0, 100]"
