,Budget interval,"Best 50 (Normal,Diverse)","All (Normal,Diverse)"
0,450 to 500,"[78, 22]","[74, 26]"
1,500 to 550,"[64, 36]","[81, 19]"
2,550 to 600,"[100, 0]","[91, 9]"
3,600 to 650,"[84, 16]","[87, 13]"
4,650 to 700,"[94, 6]","[79, 21]"
5,700 to 750,"[62, 38]","[68, 32]"
6,750 to 800,"[26, 74]","[62, 38]"
7,800 to 850,"[32, 68]","[53, 47]"
8,850 to 900,"[26, 74]","[43, 57]"
9,900 to 950,"[14, 86]","[32, 68]"
10,950 to 1000,"[12, 88]","[26, 74]"
