Budget,Best total cost,Best total points,Individual costs,Sorted individual costs,Id,Formation
500,500,1221,"[43, 51, 43, 44, 44, 45, 47, 46, 46, 47, 44]","[43, 43, 44, 44, 44, 45, 46, 46, 47, 47, 51]","[70, 468, 470, 420, 271, 287, 395, 297, 423, 295, 494]","[3, 5, 2]"
550,550,1433,"[51, 57, 44, 45, 47, 52, 59, 46, 47, 50, 52]","[44, 45, 46, 47, 47, 50, 51, 52, 52, 57, 59]","[468, 502, 420, 287, 395, 198, 29, 297, 295, 294, 93]","[3, 5, 2]"
600,600,1582,"[51, 76, 44, 45, 47, 56, 59, 46, 47, 77, 52]","[44, 45, 46, 47, 47, 51, 52, 56, 59, 76, 77]","[468, 313, 420, 287, 395, 417, 29, 297, 295, 182, 93]","[3, 5, 2]"
650,650,1705,"[51, 76, 44, 45, 56, 59, 106, 46, 50, 65, 52]","[44, 45, 46, 50, 51, 52, 56, 59, 65, 76, 106]","[468, 313, 420, 287, 417, 29, 215, 297, 294, 183, 93]","[3, 5, 2]"
700,700,1828,"[51, 76, 45, 56, 59, 85, 106, 46, 47, 77, 52]","[45, 46, 47, 51, 52, 56, 59, 76, 77, 85, 106]","[468, 313, 287, 417, 29, 239, 215, 297, 295, 182, 93]","[3, 5, 2]"
750,749,1938,"[76, 80, 45, 58, 59, 85, 106, 46, 65, 77, 52]","[45, 46, 52, 58, 59, 65, 76, 77, 80, 85, 106]","[313, 409, 287, 172, 29, 239, 215, 297, 183, 182, 93]","[3, 5, 2]"
800,799,2029,"[76, 80, 56, 59, 73, 85, 106, 65, 70, 77, 52]","[52, 56, 59, 65, 70, 73, 76, 77, 80, 85, 106]","[313, 409, 417, 29, 113, 239, 215, 183, 181, 182, 93]","[3, 5, 2]"
850,849,2098,"[76, 80, 59, 73, 85, 106, 125, 46, 70, 77, 52]","[46, 52, 59, 70, 73, 76, 77, 80, 85, 106, 125]","[313, 409, 29, 113, 239, 215, 191, 297, 181, 182, 93]","[3, 5, 2]"
900,895,2158,"[76, 80, 73, 85, 86, 106, 125, 65, 70, 77, 52]","[52, 65, 70, 73, 76, 77, 80, 85, 86, 106, 125]","[313, 409, 113, 239, 217, 215, 191, 183, 181, 182, 93]","[3, 5, 2]"
950,947,2220,"[76, 97, 73, 85, 106, 121, 125, 65, 70, 77, 52]","[52, 65, 70, 73, 76, 77, 85, 97, 106, 121, 125]","[313, 166, 113, 239, 215, 192, 191, 183, 181, 182, 93]","[3, 5, 2]"
1000,994,2256,"[76, 97, 85, 106, 120, 121, 125, 65, 70, 77, 52]","[52, 65, 70, 76, 77, 85, 97, 106, 120, 121, 125]","[313, 166, 239, 215, 214, 192, 191, 183, 181, 182, 93]","[3, 5, 2]"
