Budget,Best total cost,Best total points,Individual costs,Sorted individual costs,Id
500,500,1245,"[43, 43, 44, 45, 47, 47, 46, 46, 47, 48, 44]","[43, 43, 44, 44, 45, 46, 46, 47, 47, 47, 48]","[70, 470, 420, 287, 395, 301, 297, 423, 295, 42, 494]"
550,549,1458,"[51, 44, 45, 47, 56, 59, 46, 47, 50, 52, 52]","[44, 45, 46, 47, 47, 50, 51, 52, 52, 56, 59]","[468, 420, 287, 395, 417, 29, 297, 295, 294, 291, 93]"
600,599,1592,"[76, 44, 45, 47, 56, 59, 46, 47, 50, 77, 52]","[44, 45, 46, 47, 47, 50, 52, 56, 59, 76, 77]","[313, 420, 287, 395, 417, 29, 297, 295, 294, 182, 93]"
650,649,1713,"[76, 44, 45, 47, 59, 106, 46, 47, 50, 77, 52]","[44, 45, 46, 47, 47, 50, 52, 59, 76, 77, 106]","[313, 420, 287, 395, 29, 215, 297, 295, 294, 182, 93]"
700,699,1838,"[76, 45, 56, 59, 85, 106, 46, 47, 50, 77, 52]","[45, 46, 47, 50, 52, 56, 59, 76, 77, 85, 106]","[313, 287, 417, 29, 239, 215, 297, 295, 294, 182, 93]"
750,749,1947,"[76, 59, 60, 73, 85, 106, 46, 50, 65, 77, 52]","[46, 50, 52, 59, 60, 65, 73, 76, 77, 85, 106]","[313, 29, 463, 113, 239, 215, 297, 294, 183, 182, 93]"
800,795,2024,"[76, 59, 73, 85, 86, 106, 46, 65, 70, 77, 52]","[46, 52, 59, 65, 70, 73, 76, 77, 85, 86, 106]","[313, 29, 113, 239, 217, 215, 297, 183, 181, 182, 93]"
850,849,2093,"[76, 59, 73, 85, 106, 121, 65, 65, 70, 77, 52]","[52, 59, 65, 65, 70, 73, 76, 77, 85, 106, 121]","[313, 29, 113, 239, 215, 192, 183, 401, 181, 182, 93]"
900,896,2154,"[76, 73, 85, 106, 121, 125, 46, 65, 70, 77, 52]","[46, 52, 65, 70, 73, 76, 77, 85, 106, 121, 125]","[313, 113, 239, 215, 192, 191, 297, 183, 181, 182, 93]"
950,949,2196,"[97, 85, 86, 106, 121, 125, 65, 65, 70, 77, 52]","[52, 65, 65, 70, 77, 85, 86, 97, 106, 121, 125]","[166, 239, 217, 215, 192, 191, 183, 401, 181, 182, 93]"
1000,983,2225,"[97, 85, 106, 120, 121, 125, 65, 65, 70, 77, 52]","[52, 65, 65, 70, 77, 85, 97, 106, 120, 121, 125]","[166, 239, 215, 214, 192, 191, 183, 401, 181, 182, 93]"
