Budget,Best total cost,Best total points,Individual costs,Sorted individual costs,Id
500,500,1302,"[43, 44, 51, 44, 45, 45, 43, 46, 46, 47, 46]","[43, 43, 44, 44, 45, 45, 46, 46, 46, 47, 51]","[4070, 1336, 4468, 3504, 1416, 4287, 5016, 4297, 4423, 4295, 3088]"
550,550,1560,"[43, 48, 51, 45, 52, 52, 46, 47, 55, 58, 53]","[43, 45, 46, 47, 48, 51, 52, 52, 53, 55, 58]","[4070, 4234, 4468, 1416, 5449, 2132, 4297, 4295, 5200, 3245, 5012]"
600,600,1779,"[51, 63, 66, 45, 54, 55, 46, 54, 55, 58, 53]","[45, 46, 51, 53, 54, 54, 55, 55, 58, 63, 66]","[4468, 5514, 5202, 1416, 5481, 5271, 4297, 3484, 5200, 3245, 5012]"
650,650,1942,"[51, 63, 66, 52, 56, 62, 55, 58, 67, 67, 53]","[51, 52, 53, 55, 56, 58, 62, 63, 66, 67, 67]","[4468, 5514, 5202, 5449, 5203, 1048, 5200, 3245, 3247, 3246, 5012]"
700,700,2085,"[51, 63, 66, 52, 62, 106, 55, 58, 67, 67, 53]","[51, 52, 53, 55, 58, 62, 63, 66, 67, 67, 106]","[4468, 5514, 5202, 5449, 1048, 2234, 5200, 3245, 3247, 3246, 5012]"
750,750,2200,"[63, 66, 76, 55, 62, 106, 58, 67, 67, 77, 53]","[53, 55, 58, 62, 63, 66, 67, 67, 76, 77, 106]","[5514, 5202, 4313, 5271, 1048, 2234, 3245, 3247, 3246, 4182, 5012]"
800,799,2293,"[66, 69, 76, 91, 91, 106, 55, 58, 67, 67, 53]","[53, 55, 58, 66, 67, 67, 69, 76, 91, 91, 106]","[5202, 3437, 4313, 2247, 1398, 2234, 5200, 3245, 3247, 3246, 5012]"
850,847,2371,"[66, 69, 76, 91, 106, 117, 58, 67, 67, 77, 53]","[53, 58, 66, 67, 67, 69, 76, 77, 91, 106, 117]","[5202, 3437, 4313, 2247, 2234, 1012, 3245, 3247, 3246, 4182, 5012]"
900,894,2433,"[66, 76, 101, 106, 106, 117, 58, 67, 67, 77, 53]","[53, 58, 66, 67, 67, 76, 77, 101, 106, 106, 117]","[5202, 4313, 1143, 2234, 4215, 1012, 3245, 3247, 3246, 4182, 5012]"
950,947,2481,"[76, 101, 119, 106, 106, 117, 58, 67, 67, 77, 53]","[53, 58, 67, 67, 76, 77, 101, 106, 106, 117, 119]","[4313, 1143, 5388, 2234, 4215, 1012, 3245, 3247, 3246, 4182, 5012]"
1000,990,2507,"[101, 119, 119, 106, 106, 117, 58, 67, 67, 77, 53]","[53, 58, 67, 67, 77, 101, 106, 106, 117, 119, 119]","[1143, 5388, 1403, 2234, 4215, 1012, 3245, 3247, 3246, 4182, 5012]"
