Budget,Best total cost,Best total points,Individual costs,Sorted individual costs,Id
500,500,1333,"[43, 51, 44, 45, 45, 43, 44, 46, 46, 47, 46]","[43, 43, 44, 44, 45, 45, 46, 46, 46, 47, 51]","[4070, 4468, 3504, 1416, 4287, 5016, 5201, 4297, 4423, 4295, 3088]"
550,550,1589,"[43, 51, 45, 52, 54, 46, 46, 47, 55, 58, 53]","[43, 45, 46, 46, 47, 51, 52, 53, 54, 55, 58]","[4070, 4468, 1416, 5449, 5481, 4297, 4423, 4295, 5200, 3245, 5012]"
600,600,1808,"[51, 66, 45, 54, 55, 46, 50, 55, 58, 67, 53]","[45, 46, 50, 51, 53, 54, 55, 55, 58, 66, 67]","[4468, 5202, 1416, 5481, 5271, 4297, 4294, 5200, 3245, 3247, 5012]"
650,650,1967,"[63, 66, 55, 56, 64, 46, 55, 58, 67, 67, 53]","[46, 53, 55, 55, 56, 58, 63, 64, 66, 67, 67]","[5514, 5202, 5271, 5203, 3040, 4297, 5200, 3245, 3247, 3246, 5012]"
700,699,2110,"[63, 66, 56, 62, 106, 46, 55, 58, 67, 67, 53]","[46, 53, 55, 56, 58, 62, 63, 66, 67, 67, 106]","[5514, 5202, 5203, 1048, 2234, 4297, 5200, 3245, 3247, 3246, 5012]"
750,750,2214,"[66, 76, 62, 64, 106, 54, 58, 67, 67, 77, 53]","[53, 54, 58, 62, 64, 66, 67, 67, 76, 77, 106]","[5202, 4313, 1048, 3040, 2234, 3484, 3245, 3247, 3246, 4182, 5012]"
800,800,2305,"[66, 69, 91, 91, 106, 55, 58, 67, 67, 77, 53]","[53, 55, 58, 66, 67, 67, 69, 77, 91, 91, 106]","[5202, 3437, 2247, 1398, 2234, 5200, 3245, 3247, 3246, 4182, 5012]"
850,848,2383,"[66, 76, 106, 106, 117, 55, 58, 67, 67, 77, 53]","[53, 55, 58, 66, 67, 67, 76, 77, 106, 106, 117]","[5202, 4313, 2234, 4215, 1012, 5200, 3245, 3247, 3246, 4182, 5012]"
900,899,2433,"[66, 119, 106, 106, 117, 58, 63, 67, 67, 77, 53]","[53, 58, 63, 66, 67, 67, 77, 106, 106, 117, 119]","[5202, 5388, 2234, 4215, 1012, 3245, 3268, 3247, 3246, 4182, 5012]"
950,941,2464,"[101, 119, 106, 106, 117, 58, 67, 67, 70, 77, 53]","[53, 58, 67, 67, 70, 77, 101, 106, 106, 117, 119]","[1143, 5388, 2234, 4215, 1012, 3245, 3247, 3246, 4181, 4182, 5012]"
1000,985,2475,"[119, 119, 106, 117, 132, 58, 67, 67, 70, 77, 53]","[53, 58, 67, 67, 70, 77, 106, 117, 119, 119, 132]","[5388, 1403, 2234, 1012, 3253, 3245, 3247, 3246, 4181, 4182, 5012]"
