Budget,Best total cost,Best total points,Individual costs,Sorted individual costs,Id
500,500,1345,"[51, 44, 44, 45, 45, 43, 43, 46, 46, 47, 46]","[43, 43, 44, 44, 45, 45, 46, 46, 46, 47, 51]","[4468, 3504, 1439, 1416, 4287, 5016, 3483, 4297, 4423, 4295, 3088]"
550,550,1607,"[51, 45, 45, 52, 52, 46, 46, 47, 55, 58, 53]","[45, 45, 46, 46, 47, 51, 52, 52, 53, 55, 58]","[4468, 1416, 4287, 5449, 2132, 4297, 4423, 4295, 5200, 3245, 5012]"
600,600,1821,"[66, 45, 52, 55, 56, 46, 47, 55, 58, 67, 53]","[45, 46, 47, 52, 53, 55, 55, 56, 58, 66, 67]","[5202, 1416, 5449, 5271, 5203, 4297, 4295, 5200, 3245, 3247, 5012]"
650,649,1977,"[66, 55, 56, 62, 64, 46, 55, 58, 67, 67, 53]","[46, 53, 55, 55, 56, 58, 62, 64, 66, 67, 67]","[5202, 5271, 5203, 1048, 3040, 4297, 5200, 3245, 3247, 3246, 5012]"
700,700,2123,"[66, 56, 62, 64, 106, 46, 55, 58, 67, 67, 53]","[46, 53, 55, 56, 58, 62, 64, 66, 67, 67, 106]","[5202, 5203, 1048, 3040, 2234, 4297, 5200, 3245, 3247, 3246, 5012]"
750,750,2214,"[66, 62, 64, 89, 106, 55, 58, 63, 67, 67, 53]","[53, 55, 58, 62, 63, 64, 66, 67, 67, 89, 106]","[5202, 1048, 3040, 1394, 2234, 5200, 3245, 3268, 3247, 3246, 5012]"
800,800,2308,"[66, 64, 91, 96, 106, 55, 58, 67, 67, 77, 53]","[53, 55, 58, 64, 66, 67, 67, 77, 91, 96, 106]","[5202, 3040, 2247, 5390, 2234, 5200, 3245, 3247, 3246, 4182, 5012]"
850,848,2388,"[66, 91, 91, 106, 117, 55, 58, 67, 67, 77, 53]","[53, 55, 58, 66, 67, 67, 77, 91, 91, 106, 117]","[5202, 2247, 1398, 2234, 1012, 5200, 3245, 3247, 3246, 4182, 5012]"
900,898,2441,"[101, 91, 106, 106, 117, 55, 58, 67, 67, 77, 53]","[53, 55, 58, 67, 67, 77, 91, 101, 106, 106, 117]","[1143, 2247, 2234, 4215, 1012, 5200, 3245, 3247, 3246, 4182, 5012]"
950,948,2484,"[119, 106, 106, 113, 117, 58, 65, 67, 67, 77, 53]","[53, 58, 65, 67, 67, 77, 106, 106, 113, 117, 119]","[5388, 2234, 4215, 5302, 1012, 3245, 4183, 3247, 3246, 4182, 5012]"
1000,972,2502,"[119, 106, 106, 117, 132, 58, 67, 67, 70, 77, 53]","[53, 58, 67, 67, 70, 77, 106, 106, 117, 119, 132]","[5388, 2234, 4215, 1012, 3253, 3245, 3247, 3246, 4181, 4182, 5012]"
