Budget,Best total cost,Best total points,Individual costs,Sorted individual costs,Id
500,500,1290,"[43, 44, 51, 44, 44, 44, 45, 46, 46, 47, 46]","[43, 44, 44, 44, 44, 45, 46, 46, 46, 47, 51]","[4070, 1336, 4468, 3504, 1439, 2127, 1416, 4297, 4423, 4295, 3088]"
550,550,1554,"[43, 51, 66, 44, 45, 52, 52, 46, 47, 58, 46]","[43, 44, 45, 46, 46, 47, 51, 52, 52, 58, 66]","[4070, 4468, 5202, 3504, 1416, 5449, 2132, 4297, 4295, 3245, 3088]"
600,600,1775,"[51, 63, 66, 45, 52, 55, 56, 46, 55, 58, 53]","[45, 46, 51, 52, 53, 55, 55, 56, 58, 63, 66]","[4468, 5514, 5202, 1416, 5449, 5271, 5203, 4297, 5200, 3245, 5012]"
650,650,1929,"[51, 63, 66, 45, 54, 62, 64, 58, 67, 67, 53]","[45, 51, 53, 54, 58, 62, 63, 64, 66, 67, 67]","[4468, 5514, 5202, 1416, 5481, 1048, 3040, 3245, 3247, 3246, 5012]"
700,700,2071,"[51, 63, 66, 52, 55, 62, 106, 58, 67, 67, 53]","[51, 52, 53, 55, 58, 62, 63, 66, 67, 67, 106]","[4468, 5514, 5202, 5449, 5271, 1048, 2234, 3245, 3247, 3246, 5012]"
750,747,2191,"[66, 69, 76, 59, 62, 64, 106, 58, 67, 67, 53]","[53, 58, 59, 62, 64, 66, 67, 67, 69, 76, 106]","[5202, 3437, 4313, 2070, 1048, 3040, 2234, 3245, 3247, 3246, 5012]"
800,800,2287,"[63, 66, 76, 62, 91, 91, 106, 58, 67, 67, 53]","[53, 58, 62, 63, 66, 67, 67, 76, 91, 91, 106]","[5514, 5202, 4313, 1048, 2247, 1398, 2234, 3245, 3247, 3246, 5012]"
850,850,2373,"[66, 69, 76, 91, 91, 106, 106, 58, 67, 67, 53]","[53, 58, 66, 67, 67, 69, 76, 91, 91, 106, 106]","[5202, 3437, 4313, 2247, 1398, 2234, 4215, 3245, 3247, 3246, 5012]"
900,895,2437,"[66, 69, 76, 91, 106, 106, 117, 67, 67, 77, 53]","[53, 66, 67, 67, 69, 76, 77, 91, 106, 106, 117]","[5202, 3437, 4313, 2247, 2234, 4215, 1012, 3247, 3246, 4182, 5012]"
950,945,2498,"[66, 76, 119, 91, 106, 106, 117, 67, 67, 77, 53]","[53, 66, 67, 67, 76, 77, 91, 106, 106, 117, 119]","[5202, 4313, 5388, 2247, 2234, 4215, 1012, 3247, 3246, 4182, 5012]"
1000,992,2536,"[66, 101, 119, 106, 106, 113, 117, 67, 67, 77, 53]","[53, 66, 67, 67, 77, 101, 106, 106, 113, 117, 119]","[5202, 1143, 5388, 2234, 4215, 5302, 1012, 3247, 3246, 4182, 5012]"
