Budget,Best total cost,Best total points,Individual costs,Sorted individual costs,Id
500,500,1326,"[43, 51, 44, 44, 45, 45, 43, 46, 46, 47, 46]","[43, 43, 44, 44, 45, 45, 46, 46, 46, 47, 51]","[4070, 4468, 3504, 1439, 1416, 4287, 5016, 4297, 4423, 4295, 3088]"
550,550,1582,"[43, 51, 45, 52, 52, 55, 46, 47, 55, 58, 46]","[43, 45, 46, 46, 47, 51, 52, 52, 55, 55, 58]","[4070, 4468, 1416, 5449, 2132, 5271, 4297, 4295, 5200, 3245, 3088]"
600,600,1804,"[51, 66, 45, 52, 52, 55, 46, 55, 58, 67, 53]","[45, 46, 51, 52, 52, 53, 55, 55, 58, 66, 67]","[4468, 5202, 1416, 5449, 2132, 5271, 4297, 5200, 3245, 3247, 5012]"
650,650,1955,"[63, 66, 45, 55, 59, 62, 55, 58, 67, 67, 53]","[45, 53, 55, 55, 58, 59, 62, 63, 66, 67, 67]","[5514, 5202, 1416, 5271, 2070, 1048, 5200, 3245, 3247, 3246, 5012]"
700,700,2100,"[63, 66, 45, 56, 64, 106, 55, 58, 67, 67, 53]","[45, 53, 55, 56, 58, 63, 64, 66, 67, 67, 106]","[5514, 5202, 1416, 5203, 3040, 2234, 5200, 3245, 3247, 3246, 5012]"
750,750,2209,"[66, 76, 54, 62, 64, 106, 58, 67, 67, 77, 53]","[53, 54, 58, 62, 64, 66, 67, 67, 76, 77, 106]","[5202, 4313, 5481, 1048, 3040, 2234, 3245, 3247, 3246, 4182, 5012]"
800,800,2299,"[66, 69, 62, 91, 106, 106, 55, 58, 67, 67, 53]","[53, 55, 58, 62, 66, 67, 67, 69, 91, 106, 106]","[5202, 3437, 1048, 2247, 2234, 4215, 5200, 3245, 3247, 3246, 5012]"
850,848,2379,"[66, 76, 91, 91, 96, 106, 58, 67, 67, 77, 53]","[53, 58, 66, 67, 67, 76, 77, 91, 91, 96, 106]","[5202, 4313, 2247, 1398, 5390, 2234, 3245, 3247, 3246, 4182, 5012]"
900,896,2443,"[66, 76, 103, 106, 106, 117, 58, 67, 67, 77, 53]","[53, 58, 66, 67, 67, 76, 77, 103, 106, 106, 117]","[5202, 4313, 3251, 2234, 4215, 1012, 3245, 3247, 3246, 4182, 5012]"
950,949,2500,"[66, 119, 106, 106, 113, 117, 58, 67, 67, 77, 53]","[53, 58, 66, 67, 67, 77, 106, 106, 113, 117, 119]","[5202, 5388, 2234, 4215, 5302, 1012, 3245, 3247, 3246, 4182, 5012]"
1000,999,2531,"[97, 119, 106, 106, 117, 132, 58, 67, 67, 77, 53]","[53, 58, 67, 67, 77, 97, 106, 106, 117, 119, 132]","[4166, 5388, 2234, 4215, 1012, 3253, 3245, 3247, 3246, 4182, 5012]"
