total_points,now_cost,indexes
43,153,"[497, 498, 499, 489]"
69,154,"[497, 498, 489, 492]"
93,155,"[497, 489, 492, 494]"
132,156,"[497, 498, 489, 440]"
158,157,"[497, 489, 492, 440]"
182,158,"[489, 492, 494, 440]"
207,159,"[489, 492, 477, 440]"
219,160,"[497, 489, 440, 397]"
245,161,"[489, 492, 440, 397]"
268,162,"[489, 477, 440, 397]"
284,163,"[489, 477, 440, 379]"
295,164,"[489, 440, 397, 416]"
322,165,"[489, 440, 397, 379]"
328,166,"[477, 440, 397, 379]"
333,167,"[440, 437, 397, 379]"
355,168,"[440, 397, 416, 379]"
370,169,"[440, 397, 379, 350]"
376,170,"[440, 397, 379, 335]"
380,171,"[440, 379, 350, 335]"
399,172,"[440, 397, 379, 215]"
403,173,"[440, 379, 350, 215]"
409,174,"[440, 379, 335, 215]"
412,175,"[440, 379, 350, 139]"
418,176,"[440, 379, 335, 139]"
432,177,"[440, 379, 215, 186]"
441,178,"[440, 379, 215, 139]"
443,180,"[379, 350, 215, 139]"
449,181,"[379, 335, 215, 139]"
458,182,"[440, 215, 186, 139]"
472,184,"[379, 215, 186, 139]"
479,186,"[440, 379, 139, 31]"
487,188,"[440, 215, 186, 31]"
496,189,"[440, 215, 139, 31]"
501,190,"[379, 215, 186, 31]"
510,191,"[379, 215, 139, 31]"
515,194,"[215, 186, 139, 41]"
527,195,"[215, 186, 139, 31]"
536,198,"[379, 139, 41, 31]"
544,200,"[215, 186, 41, 31]"
553,201,"[215, 139, 41, 31]"
568,206,"[215, 41, 40, 31]"
577,208,"[139, 41, 40, 31]"
588,215,"[41, 40, 31, 2]"
