cost,points_total,indexes
446,279,"[444, 446, 529, 526, 539, 540, 509, 613, 615, 614, 607]"
447,305,"[444, 446, 529, 526, 539, 540, 509, 613, 615, 614, 596]"
448,357,"[444, 446, 529, 526, 539, 540, 509, 613, 615, 614, 527]"
449,373,"[444, 446, 529, 526, 539, 540, 509, 613, 615, 614, 508]"
450,377,"[444, 446, 529, 526, 539, 540, 509, 613, 615, 614, 445]"
452,391,"[444, 446, 529, 526, 539, 540, 509, 613, 615, 614, 310]"
457,405,"[444, 446, 529, 526, 539, 540, 509, 613, 615, 614, 163]"
458,420,"[444, 446, 529, 526, 539, 540, 509, 613, 615, 614, 133]"
448,316,"[444, 446, 529, 526, 539, 540, 509, 615, 614, 531, 607]"
449,342,"[444, 446, 529, 526, 539, 540, 509, 615, 614, 531, 596]"
450,394,"[444, 446, 529, 526, 539, 540, 509, 615, 614, 531, 527]"
451,410,"[444, 446, 529, 526, 539, 540, 509, 615, 614, 531, 508]"
452,414,"[444, 446, 529, 526, 539, 540, 509, 615, 614, 531, 445]"
454,428,"[444, 446, 529, 526, 539, 540, 509, 615, 614, 531, 310]"
459,442,"[444, 446, 529, 526, 539, 540, 509, 615, 614, 531, 163]"
460,457,"[444, 446, 529, 526, 539, 540, 509, 615, 614, 531, 133]"
449,324,"[444, 446, 529, 526, 539, 540, 509, 615, 614, 504, 607]"
450,350,"[444, 446, 529, 526, 539, 540, 509, 615, 614, 504, 596]"
451,402,"[444, 446, 529, 526, 539, 540, 509, 615, 614, 504, 527]"
452,418,"[444, 446, 529, 526, 539, 540, 509, 615, 614, 504, 508]"
453,422,"[444, 446, 529, 526, 539, 540, 509, 615, 614, 504, 445]"
455,436,"[444, 446, 529, 526, 539, 540, 509, 615, 614, 504, 310]"
460,450,"[444, 446, 529, 526, 539, 540, 509, 615, 614, 504, 163]"
461,465,"[444, 446, 529, 526, 539, 540, 509, 615, 614, 504, 133]"
450,325,"[444, 446, 529, 526, 539, 540, 509, 613, 614, 504, 607]"
451,351,"[444, 446, 529, 526, 539, 540, 509, 613, 614, 504, 596]"
452,403,"[444, 446, 529, 526, 539, 540, 509, 613, 614, 504, 527]"
453,419,"[444, 446, 529, 526, 539, 540, 509, 613, 614, 504, 508]"
454,423,"[444, 446, 529, 526, 539, 540, 509, 613, 614, 504, 445]"
456,437,"[444, 446, 529, 526, 539, 540, 509, 613, 614, 504, 310]"
