cost,points_total,indexes
446,247,"[444, 446, 459, 529, 526, 509, 613, 615, 614, 604, 607]"
447,273,"[444, 446, 459, 529, 526, 509, 613, 615, 614, 604, 596]"
448,325,"[444, 446, 459, 529, 526, 509, 613, 615, 614, 604, 527]"
449,341,"[444, 446, 459, 529, 526, 509, 613, 615, 614, 604, 508]"
450,345,"[444, 446, 459, 529, 526, 509, 613, 615, 614, 604, 445]"
452,359,"[444, 446, 459, 529, 526, 509, 613, 615, 614, 604, 310]"
457,373,"[444, 446, 459, 529, 526, 509, 613, 615, 614, 604, 163]"
458,388,"[444, 446, 459, 529, 526, 509, 613, 615, 614, 604, 133]"
448,299,"[444, 446, 459, 529, 526, 509, 613, 615, 614, 530, 607]"
449,325,"[444, 446, 459, 529, 526, 509, 613, 615, 614, 530, 596]"
450,377,"[444, 446, 459, 529, 526, 509, 613, 615, 614, 530, 527]"
451,393,"[444, 446, 459, 529, 526, 509, 613, 615, 614, 530, 508]"
452,397,"[444, 446, 459, 529, 526, 509, 613, 615, 614, 530, 445]"
454,411,"[444, 446, 459, 529, 526, 509, 613, 615, 614, 530, 310]"
459,425,"[444, 446, 459, 529, 526, 509, 613, 615, 614, 530, 163]"
460,440,"[444, 446, 459, 529, 526, 509, 613, 615, 614, 530, 133]"
450,336,"[444, 446, 459, 529, 526, 509, 615, 614, 531, 530, 607]"
451,362,"[444, 446, 459, 529, 526, 509, 615, 614, 531, 530, 596]"
452,414,"[444, 446, 459, 529, 526, 509, 615, 614, 531, 530, 527]"
453,430,"[444, 446, 459, 529, 526, 509, 615, 614, 531, 530, 508]"
454,434,"[444, 446, 459, 529, 526, 509, 615, 614, 531, 530, 445]"
456,448,"[444, 446, 459, 529, 526, 509, 615, 614, 531, 530, 310]"
461,462,"[444, 446, 459, 529, 526, 509, 615, 614, 531, 530, 163]"
462,477,"[444, 446, 459, 529, 526, 509, 615, 614, 531, 530, 133]"
451,350,"[444, 446, 459, 529, 526, 509, 613, 615, 614, 416, 607]"
452,376,"[444, 446, 459, 529, 526, 509, 613, 615, 614, 416, 596]"
453,428,"[444, 446, 459, 529, 526, 509, 613, 615, 614, 416, 527]"
454,444,"[444, 446, 459, 529, 526, 509, 613, 615, 614, 416, 508]"
455,448,"[444, 446, 459, 529, 526, 509, 613, 615, 614, 416, 445]"
457,462,"[444, 446, 459, 529, 526, 509, 613, 615, 614, 416, 310]"
462,476,"[444, 446, 459, 529, 526, 509, 613, 615, 614, 416, 163]"
463,491,"[444, 446, 459, 529, 526, 509, 613, 615, 614, 416, 133]"
453,401,"[444, 446, 459, 529, 526, 509, 615, 614, 530, 416, 607]"
454,427,"[444, 446, 459, 529, 526, 509, 615, 614, 530, 416, 596]"
455,479,"[444, 446, 459, 529, 526, 509, 615, 614, 530, 416, 527]"
456,495,"[444, 446, 459, 529, 526, 509, 615, 614, 530, 416, 508]"
457,499,"[444, 446, 459, 529, 526, 509, 615, 614, 530, 416, 445]"
459,513,"[444, 446, 459, 529, 526, 509, 615, 614, 530, 416, 310]"
464,527,"[444, 446, 459, 529, 526, 509, 615, 614, 530, 416, 163]"
465,542,"[444, 446, 459, 529, 526, 509, 615, 614, 530, 416, 133]"
454,402,"[444, 446, 459, 529, 526, 509, 613, 614, 530, 416, 607]"
455,428,"[444, 446, 459, 529, 526, 509, 613, 614, 530, 416, 596]"
456,480,"[444, 446, 459, 529, 526, 509, 613, 614, 530, 416, 527]"
457,496,"[444, 446, 459, 529, 526, 509, 613, 614, 530, 416, 508]"
458,500,"[444, 446, 459, 529, 526, 509, 613, 614, 530, 416, 445]"
460,514,"[444, 446, 459, 529, 526, 509, 613, 614, 530, 416, 310]"
465,528,"[444, 446, 459, 529, 526, 509, 613, 614, 530, 416, 163]"
466,543,"[444, 446, 459, 529, 526, 509, 613, 614, 530, 416, 133]"
456,443,"[444, 446, 459, 529, 526, 509, 615, 614, 416, 414, 607]"
457,469,"[444, 446, 459, 529, 526, 509, 615, 614, 416, 414, 596]"
458,521,"[444, 446, 459, 529, 526, 509, 615, 614, 416, 414, 527]"
