cost,points_total,indexes
444,257,"[444, 446, 529, 526, 540, 509, 613, 615, 614, 604, 607]"
445,283,"[444, 446, 529, 526, 540, 509, 613, 615, 614, 604, 596]"
446,335,"[444, 446, 529, 526, 540, 509, 613, 615, 614, 604, 527]"
447,351,"[444, 446, 529, 526, 540, 509, 613, 615, 614, 604, 508]"
448,355,"[444, 446, 529, 526, 540, 509, 613, 615, 614, 604, 445]"
450,369,"[444, 446, 529, 526, 540, 509, 613, 615, 614, 604, 310]"
455,383,"[444, 446, 529, 526, 540, 509, 613, 615, 614, 604, 163]"
456,398,"[444, 446, 529, 526, 540, 509, 613, 615, 614, 604, 133]"
446,309,"[444, 446, 529, 526, 540, 509, 613, 615, 614, 530, 607]"
447,335,"[444, 446, 529, 526, 540, 509, 613, 615, 614, 530, 596]"
448,387,"[444, 446, 529, 526, 540, 509, 613, 615, 614, 530, 527]"
449,403,"[444, 446, 529, 526, 540, 509, 613, 615, 614, 530, 508]"
450,407,"[444, 446, 529, 526, 540, 509, 613, 615, 614, 530, 445]"
452,421,"[444, 446, 529, 526, 540, 509, 613, 615, 614, 530, 310]"
457,435,"[444, 446, 529, 526, 540, 509, 613, 615, 614, 530, 163]"
458,450,"[444, 446, 529, 526, 540, 509, 613, 615, 614, 530, 133]"
448,346,"[444, 446, 529, 526, 540, 509, 615, 614, 531, 530, 607]"
449,372,"[444, 446, 529, 526, 540, 509, 615, 614, 531, 530, 596]"
450,424,"[444, 446, 529, 526, 540, 509, 615, 614, 531, 530, 527]"
451,440,"[444, 446, 529, 526, 540, 509, 615, 614, 531, 530, 508]"
452,444,"[444, 446, 529, 526, 540, 509, 615, 614, 531, 530, 445]"
454,458,"[444, 446, 529, 526, 540, 509, 615, 614, 531, 530, 310]"
459,472,"[444, 446, 529, 526, 540, 509, 615, 614, 531, 530, 163]"
460,487,"[444, 446, 529, 526, 540, 509, 615, 614, 531, 530, 133]"
449,360,"[444, 446, 529, 526, 540, 509, 613, 615, 614, 416, 607]"
450,386,"[444, 446, 529, 526, 540, 509, 613, 615, 614, 416, 596]"
451,438,"[444, 446, 529, 526, 540, 509, 613, 615, 614, 416, 527]"
452,454,"[444, 446, 529, 526, 540, 509, 613, 615, 614, 416, 508]"
453,458,"[444, 446, 529, 526, 540, 509, 613, 615, 614, 416, 445]"
455,472,"[444, 446, 529, 526, 540, 509, 613, 615, 614, 416, 310]"
460,486,"[444, 446, 529, 526, 540, 509, 613, 615, 614, 416, 163]"
461,501,"[444, 446, 529, 526, 540, 509, 613, 615, 614, 416, 133]"
451,411,"[444, 446, 529, 526, 540, 509, 615, 614, 530, 416, 607]"
452,437,"[444, 446, 529, 526, 540, 509, 615, 614, 530, 416, 596]"
453,489,"[444, 446, 529, 526, 540, 509, 615, 614, 530, 416, 527]"
454,505,"[444, 446, 529, 526, 540, 509, 615, 614, 530, 416, 508]"
455,509,"[444, 446, 529, 526, 540, 509, 615, 614, 530, 416, 445]"
457,523,"[444, 446, 529, 526, 540, 509, 615, 614, 530, 416, 310]"
462,537,"[444, 446, 529, 526, 540, 509, 615, 614, 530, 416, 163]"
