Budget,Best total cost,Best total points,Individual costs,Sorted individual costs,Id
500,500,1069,"[40, 40, 43, 44, 46, 43, 46, 47, 48, 51, 52]","[40, 40, 43, 43, 44, 46, 46, 47, 48, 51, 52]","[134, 550, 87, 510, 324, 406, 414, 408, 475, 444, 470]"
550,549,1304,"[50, 60, 44, 49, 54, 46, 47, 48, 48, 51, 52]","[44, 46, 47, 48, 48, 49, 50, 51, 52, 54, 60]","[300, 654, 510, 365, 425, 414, 408, 475, 415, 444, 470]"
600,600,1475,"[60, 60, 44, 49, 51, 47, 51, 62, 62, 62, 52]","[44, 47, 49, 51, 51, 52, 60, 60, 62, 62, 62]","[654, 664, 510, 365, 85, 408, 444, 447, 605, 659, 470]"
650,650,1593,"[60, 60, 46, 74, 74, 47, 51, 62, 62, 62, 52]","[46, 47, 51, 52, 60, 60, 62, 62, 62, 74, 74]","[654, 664, 324, 791, 797, 408, 444, 447, 605, 659, 470]"
700,698,1707,"[60, 60, 74, 74, 74, 59, 59, 62, 62, 62, 52]","[52, 59, 59, 60, 60, 62, 62, 62, 74, 74, 74]","[654, 664, 791, 797, 825, 449, 618, 447, 605, 659, 470]"
750,747,1782,"[72, 72, 74, 74, 99, 59, 59, 62, 62, 62, 52]","[52, 59, 59, 62, 62, 62, 72, 72, 74, 74, 99]","[792, 831, 791, 797, 1429, 449, 618, 447, 605, 659, 470]"
800,797,1832,"[72, 72, 99, 99, 99, 59, 59, 62, 62, 62, 52]","[52, 59, 59, 62, 62, 62, 72, 72, 99, 99, 99]","[792, 831, 1429, 1437, 1451, 449, 618, 447, 605, 659, 470]"
850,849,1858,"[86, 86, 99, 99, 99, 62, 62, 62, 71, 71, 52]","[52, 62, 62, 62, 71, 71, 86, 86, 99, 99, 99]","[1247, 1253, 1429, 1437, 1451, 447, 605, 659, 834, 835, 470]"
