Budget,Best total cost,Best total points,Individual costs,Sorted individual costs,Id
500,500,1054,"[36, 44, 44, 45, 46, 49, 43, 46, 47, 48, 52]","[36, 43, 44, 44, 45, 46, 46, 47, 48, 49, 52]","[488, 510, 454, 261, 324, 365, 406, 414, 408, 475, 470]"
550,548,1300,"[60, 44, 46, 49, 51, 54, 46, 47, 48, 51, 52]","[44, 46, 46, 47, 48, 49, 51, 51, 52, 54, 60]","[664, 510, 324, 365, 85, 425, 414, 408, 475, 444, 470]"
600,599,1446,"[60, 46, 49, 50, 51, 54, 51, 62, 62, 62, 52]","[46, 49, 50, 51, 51, 52, 54, 60, 62, 62, 62]","[664, 324, 365, 505, 85, 425, 444, 447, 605, 659, 470]"
650,650,1577,"[60, 49, 50, 54, 74, 74, 51, 62, 62, 62, 52]","[49, 50, 51, 52, 54, 60, 62, 62, 62, 74, 74]","[664, 365, 505, 425, 764, 771, 444, 447, 605, 659, 470]"
700,699,1702,"[60, 54, 74, 74, 74, 74, 51, 62, 62, 62, 52]","[51, 52, 54, 60, 62, 62, 62, 74, 74, 74, 74]","[664, 425, 764, 771, 791, 797, 444, 447, 605, 659, 470]"
750,739,1789,"[72, 74, 74, 74, 74, 74, 59, 62, 62, 62, 52]","[52, 59, 62, 62, 62, 72, 74, 74, 74, 74, 74]","[831, 764, 771, 791, 797, 825, 449, 447, 605, 659, 470]"
800,789,1839,"[72, 74, 74, 74, 99, 99, 59, 62, 62, 62, 52]","[52, 59, 62, 62, 62, 72, 74, 74, 74, 99, 99]","[831, 764, 771, 791, 1416, 1427, 449, 447, 605, 659, 470]"
850,839,1889,"[72, 74, 99, 99, 99, 99, 59, 62, 62, 62, 52]","[52, 59, 62, 62, 62, 72, 74, 99, 99, 99, 99]","[831, 764, 1416, 1427, 1429, 1437, 449, 447, 605, 659, 470]"
