Budget,Best total cost,Best total points,Individual costs,Sorted individual costs,Id
500,500,1074,"[40, 43, 44, 44, 46, 43, 46, 47, 47, 48, 52]","[40, 43, 43, 44, 44, 46, 46, 47, 47, 48, 52]","[550, 87, 510, 454, 324, 406, 414, 408, 467, 475, 470]"
550,549,1322,"[50, 44, 46, 49, 54, 46, 47, 48, 51, 62, 52]","[44, 46, 46, 47, 48, 49, 50, 51, 52, 54, 62]","[300, 510, 324, 365, 425, 414, 408, 475, 444, 447, 470]"
600,600,1475,"[60, 49, 50, 51, 54, 47, 51, 62, 62, 62, 52]","[47, 49, 50, 51, 51, 52, 54, 60, 62, 62, 62]","[664, 365, 505, 85, 425, 408, 444, 447, 605, 659, 470]"
650,649,1600,"[60, 51, 54, 74, 74, 47, 51, 62, 62, 62, 52]","[47, 51, 51, 52, 54, 60, 62, 62, 62, 74, 74]","[664, 85, 425, 771, 791, 408, 444, 447, 605, 659, 470]"
700,700,1719,"[60, 74, 74, 74, 74, 47, 59, 62, 62, 62, 52]","[47, 52, 59, 60, 62, 62, 62, 74, 74, 74, 74]","[664, 771, 791, 797, 825, 408, 449, 447, 605, 659, 470]"
750,749,1796,"[72, 74, 74, 74, 99, 59, 59, 62, 62, 62, 52]","[52, 59, 59, 62, 62, 62, 72, 74, 74, 74, 99]","[831, 771, 791, 797, 1427, 449, 618, 447, 605, 659, 470]"
800,799,1846,"[72, 74, 99, 99, 99, 59, 59, 62, 62, 62, 52]","[52, 59, 59, 62, 62, 62, 72, 74, 99, 99, 99]","[831, 771, 1427, 1429, 1437, 449, 618, 447, 605, 659, 470]"
850,848,1895,"[72, 99, 99, 99, 99, 62, 62, 62, 71, 71, 52]","[52, 62, 62, 62, 71, 71, 72, 99, 99, 99, 99]","[831, 1427, 1429, 1437, 1451, 447, 605, 659, 834, 835, 470]"
