assists,bonus,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,id,in_dreamteam,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
1,11,None,None,9,245733,0,0,-1,1,1,3,1.3,0.0,5,Andreas,0.0,40,1,91,False,2520,,None,44,0,0,0,245733.jpg,3.0,0,0,Hopmark,14.2,False,None,a,4,3835,83,5734,0,11326,0,0.0,18.9,Hopmark,1
1,0,100,100,2,88564,0,0,-5,5,0,4,0.3,0.0,1,Flamur,0.0,15,0,92,False,724,,2021-10-23T10:58:11.100135Z,65,0,0,0,88564.jpg,1.3,0,0,Kastrati,3.3,False,None,a,7,307,29,521,0,2734,0,0.0,4.5,Kastrati,3
0,0,0,0,3,457269,0,0,-5,5,0,4,0.0,0.0,0,Faris,0.0,6,0,93,False,521,Utlånt til SønderjyskE,2021-08-27T08:16:37.662752Z,60,0,0,0,457269.jpg,1.3,0,0,Pemi Moumbagna,1.2,False,None,u,4,3835,14,468,0,1475,0,0.0,2.3,Pemi,2
0,0,None,None,0,505422,0,0,-4,4,0,4,0.3,0.0,0,Oskar Siira,0.0,2,1,94,False,46,,None,41,0,0,0,505422.jpg,1.6,0,0,Sivertsen,9.9,False,None,a,4,3835,8,3480,0,11381,0,0.0,2.0,O. Sivertsen,1
0,0,None,None,0,215782,0,0,-3,3,0,1,0.0,0.0,0,Álex,0.0,6,0,95,False,180,,None,42,0,0,0,215782.jpg,1.5,0,6,Craninx,2.9,False,None,a,6,203,3,528,0,1811,0,0.0,0.7,Craninx,0
0,3,100,100,8,428224,0,0,1,-1,4,1,2.7,0.0,7,Mads Hedenstad,0.0,25,0,96,False,2160,,2021-09-07T12:18:45.915986Z,46,0,0,1,428224.jpg,4.2,0,81,Christiansen,6.1,False,None,a,5,305,101,5457,0,2875,0,0.0,22.0,Christiansen,0
0,0,0,0,0,208534,0,0,0,0,0,1,0.0,0.0,0,Emil,0.0,0,0,97,False,0,Solgt til KFUM,2021-05-12T17:26:39.639202Z,40,0,0,0,208534.jpg,0.0,0,0,Ødegaard,2.0,False,None,u,5,305,0,34,0,862,0,0.0,0.0,Ødegaard,0
3,3,None,None,8,478726,0,0,1,-1,3,2,3.3,0.0,14,Vetle,0.0,39,2,98,False,2671,,None,51,0,0,0,478726.jpg,3.4,0,0,Winger Dragsnes,10.0,False,None,a,5,305,102,3924,0,2801,0,0.0,20.0,Dragsnes,2
2,11,0,0,7,446155,0,0,3,-3,1,2,0.0,0.0,0,Igoh,0.0,32,1,99,False,2331,Suspendert,2021-12-05T18:36:27.014835Z,48,1,0,0,446155.jpg,3.2,1,0,Ogbu,8.5,False,None,s,5,305,84,10170,0,8191,0,0.0,17.5,Ogbu,5
0,0,None,None,2,483993,0,0,-1,1,0,2,0.0,0.0,6,Philip,0.0,17,0,100,False,855,,None,44,0,0,0,483993.jpg,1.9,0,0,Slørdahl,0.1,False,None,a,5,305,21,25,0,39,0,0.0,4.8,Slørdahl,1
0,0,100,100,0,179305,0,0,-2,2,0,2,0.0,0.0,1,Simen,0.0,0,0,101,False,1,,2021-04-08T11:03:33.476605Z,43,0,0,0,179305.jpg,1.0,0,0,Kind Mikalsen,0.0,False,None,a,5,305,1,1,0,7,0,0.0,0.2,Kind Mikalsen,0
2,2,100,100,4,439207,0,0,-3,3,0,2,1.3,0.0,5,Lars,0.0,32,2,102,False,1866,,2021-11-05T08:19:25.784767Z,42,0,0,0,439207.jpg,2.6,0,0,Ranger,3.6,False,None,a,5,305,63,4013,0,3111,0,0.0,15.0,Ranger,8
0,3,0,0,7,530067,0,0,1,-1,1,2,0.0,0.0,0,Espen,0.0,32,2,103,False,2323,Suspendert,2021-12-05T18:36:27.032642Z,46,0,0,0,530067.jpg,3.0,0,0,Garnas,2.0,False,None,s,5,305,81,1337,0,825,0,0.0,17.6,Garnås,6
3,3,0,0,5,530068,0,0,3,-3,2,2,0.0,0.0,0,Eskil,0.0,17,1,104,False,1335,Suspendert,2021-12-05T18:36:27.048905Z,43,0,0,0,530068.jpg,2.9,0,0,Edh,4.1,False,None,s,5,305,69,3084,0,2055,0,0.0,16.0,Edh,4
0,0,100,100,0,450036,0,0,0,0,0,2,0.0,0.0,1,Josef,0.0,0,0,105,False,1,,2021-07-02T17:36:49.594862Z,40,0,0,0,450036.jpg,1.0,0,0,Baccay,0.7,False,None,a,5,305,1,82,0,266,0,0.0,0.2,Baccay,0
0,0,0,0,0,223085,0,0,0,0,0,2,0.0,0.0,0,Erik Tobias,0.0,0,0,106,False,0,Utlånt til Jerv,2021-05-06T18:53:10.984533Z,40,0,0,0,223085.jpg,0.0,0,0,Sandberg,0.1,False,None,u,5,305,0,0,0,55,0,0.0,0.0,Sandberg,0
1,1,100,100,2,61830,0,0,-1,1,0,3,0.0,0.0,0,Pål André,0.0,4,1,107,False,337,,2021-06-25T18:20:52.166067Z,84,0,0,0,61830.jpg,1.8,0,0,Helland,1.0,False,None,a,5,305,25,136,0,414,0,0.0,3.0,Helland,2
12,22,100,100,7,87069,0,0,0,0,3,3,6.3,0.0,12,Gjermund,0.0,31,2,108,False,2217,,2021-10-02T10:20:56.068623Z,80,0,0,0,87069.jpg,4.8,0,0,Åsen,6.0,False,None,a,5,305,126,9803,0,5912,0,0.0,15.8,Åsen,0
2,2,None,None,7,76579,0,0,-1,1,1,3,1.0,0.0,0,Daniel,0.0,23,2,109,False,1567,,None,64,0,0,0,76579.jpg,2.5,0,0,Gustafsson,0.4,False,None,a,5,305,67,190,0,208,0,0.0,10.5,Gustafsson,2
5,0,100,100,6,193182,0,0,0,0,0,3,2.0,0.0,3,Kaan,0.0,19,1,110,False,1494,,2021-10-23T07:41:45.278638Z,60,0,1,0,193182.jpg,3.0,0,0,Kairinen,0.7,False,None,a,5,305,60,507,0,726,0,0.0,10.0,Kairinen,1
2,2,100,100,3,215843,0,0,-1,1,0,3,1.7,0.0,3,Tobias,0.0,15,0,111,False,755,,2021-07-21T17:22:24.172226Z,59,0,0,0,215843.jpg,1.8,0,0,Svendsen,0.2,False,None,a,5,305,37,86,0,98,0,0.0,6.3,Svendsen,1
1,0,None,None,0,208025,0,0,-3,3,0,3,0.7,0.0,1,Fredrik,0.0,13,1,112,False,617,,None,52,0,0,0,208025.jpg,1.5,0,0,Krogstad,0.3,False,None,a,5,305,36,38,0,99,0,0.0,6.9,Krogstad,1
2,0,100,100,0,530069,0,0,0,0,0,3,0.3,0.0,0,Jonatan,0.0,8,1,113,False,210,,2021-04-08T11:03:33.499200Z,45,0,0,0,530069.jpg,1.6,0,0,Brunes,0.1,False,None,a,5,305,29,156,0,136,0,0.0,6.4,Brunes,1
0,0,0,0,0,530071,0,0,-1,1,0,3,0.0,0.0,0,Uranik,0.0,0,0,114,False,0,Utlånt til Skeid ut sesongen,2021-08-11T18:17:24.112555Z,44,0,0,0,530071.jpg,0.0,0,0,Seferi,0.1,False,None,u,5,305,0,20,0,53,0,0.0,0.0,Seferi,0
0,0,100,100,0,449408,0,0,0,0,0,3,0.0,0.0,0,Apipon,0.0,0,0,115,False,0,,2021-05-12T17:29:45.228215Z,45,0,0,0,449408.jpg,0.0,0,0,Tongnoy,0.0,False,None,a,5,305,0,0,0,10,0,0.0,0.0,Tongnoy,0
0,1,100,100,1,451349,0,0,0,0,0,3,0.7,0.0,6,Ulrik,0.0,11,1,116,False,664,,2021-05-27T17:51:19.451268Z,45,0,0,0,451349.jpg,1.6,0,0,Mathisen,0.2,False,None,a,5,305,33,97,0,116,0,0.0,7.3,Mathisen,0
3,37,100,100,10,63734,0,0,15,-15,10,4,10.0,0.0,2,Thomas,0.0,33,26,117,True,2532,,2021-10-23T07:41:45.300343Z,100,0,0,0,63734.jpg,7.1,0,0,Lehne Olsen,37.7,False,None,a,5,305,205,26902,0,9386,0,0.0,20.5,Lehne Olsen,3
2,2,None,None,0,179260,0,0,-3,3,0,4,1.0,0.0,1,Kent,0.0,30,3,118,False,935,,None,57,0,0,0,179260.jpg,2.6,0,0,Havard Eriksen,0.9,False,None,a,16,3199,46,534,0,651,0,0.0,8.1,Eriksen,0
0,0,0,0,0,449419,0,0,0,0,0,4,0.0,0.0,0,Alexander Hrcka,0.0,0,0,119,False,0,Utlånt til Strømmen,2021-06-02T10:42:34.469923Z,45,0,0,0,449419.jpg,0.0,0,0,Sannes,0.2,False,None,u,5,305,0,82,0,131,0,0.0,0.0,Sannes,0
0,6,100,100,8,111778,0,0,-1,1,2,1,5.0,0.0,3,Andreas,0.0,37,0,120,False,2250,,2021-06-13T12:11:02.580506Z,64,0,0,0,111778.jpg,3.6,0,69,Linde,9.3,False,None,a,6,203,89,2986,0,4944,0,0.0,13.9,Linde,2
0,0,0,0,0,431000,0,0,-1,1,0,1,0.0,0.0,0,Mathias Eriksen,0.0,0,0,121,False,0,Utlånt til Moss,2021-08-27T16:14:34.712895Z,44,0,0,0,431000.jpg,0.0,0,0,Ranmark,0.1,False,None,u,6,203,0,8,0,35,0,0.0,0.0,Ranmark,0
0,2,0,0,2,467046,0,0,0,0,0,1,0.0,0.0,0,Oliver,0.0,3,0,122,False,450,Utlånt til Grorud,2021-09-09T15:53:17.864171Z,45,0,0,0,467046.jpg,4.6,0,16,Petersen,0.2,False,None,u,6,203,23,297,0,255,0,0.0,5.1,Petersen,0
2,2,0,0,1,450444,0,0,-3,3,0,2,0.0,0.0,0,Marcus,0.0,7,0,123,False,476,Solgt til Feyenoord,2021-06-24T18:32:41.070099Z,62,0,0,0,450444.jpg,2.9,0,0,Holmgren Pedersen,2.1,False,None,u,6,203,20,138,0,2267,0,0.0,3.2,Holmgren Pedersen,2
1,8,100,100,9,116138,0,0,8,-8,4,2,2.3,0.0,2,Kristoffer,0.0,26,6,124,False,1934,,2021-11-28T18:44:36.708752Z,68,1,0,0,116138.jpg,4.6,0,0,Haugen,15.1,False,None,a,6,203,114,17312,0,8384,0,0.0,16.8,Haugen,4
0,0,0,0,0,95686,0,0,-1,1,0,2,0.0,0.0,0,Kristoffer,0.0,0,0,125,False,0,Korsbåndskade,2021-04-08T11:04:29.670176Z,59,0,0,0,95686.jpg,0.0,0,0,Haraldseid,0.0,False,None,i,6,203,0,0,0,5,0,0.0,0.0,Haraldseid,0
1,0,100,100,4,206923,0,0,-4,4,1,2,4.3,0.0,-1,Birk,0.0,17,3,126,False,1064,,2021-10-23T16:37:47.586372Z,56,1,0,0,206923.jpg,3.2,1,0,Risa,9.6,False,None,a,6,203,54,1156,0,7495,0,0.0,9.6,Risa,3
1,3,0,0,5,166372,0,0,-2,2,1,2,0.0,0.0,0,Stian,0.0,15,1,127,False,983,Solgt til Bordeaux,2021-08-31T19:46:01.801915Z,58,0,0,0,166372.jpg,3.6,0,0,Gregersen,6.5,False,None,u,6,203,51,1745,0,6672,0,0.0,8.8,Gregersen,1
2,7,50,50,6,225993,0,0,-1,1,5,2,2.0,0.0,0,Sheriff,0.0,31,3,128,False,2007,Ankelskade,2021-11-28T18:38:45.852092Z,54,0,0,0,225993.jpg,3.8,0,0,Sinyan,4.4,False,None,d,6,203,90,2572,0,2296,0,0.0,16.7,Sinyan,1
0,5,100,100,9,111802,0,0,3,-3,3,2,2.7,0.0,2,Martin,0.0,35,3,129,False,2318,,2021-10-31T18:17:45.546467Z,58,0,0,0,111802.jpg,3.4,1,0,Bjørnbak,17.6,False,None,a,6,203,93,10601,0,10434,0,0.0,16.0,Bjørnbak,3
0,0,100,100,0,475575,0,0,-1,1,0,2,0.3,0.0,1,Fredrik,0.0,5,0,130,False,120,,2021-10-26T12:33:21.693821Z,49,0,0,0,475575.jpg,0.8,0,0,Sjølstad,0.0,False,None,a,6,203,5,5,0,2,0,0.0,1.0,Sjølstad,0
9,15,100,100,5,78008,0,0,-1,1,4,3,6.3,0.0,2,Magnus,0.0,27,4,131,False,1611,,2021-07-23T09:22:39.228437Z,124,0,0,0,78008.jpg,4.4,0,0,Wolff Eikrem,5.8,False,None,a,6,203,106,7763,0,3179,0,0.0,8.5,Wolff Eikrem,2
4,12,100,100,5,96235,0,0,-3,3,4,3,0.0,0.0,0,Eirik,0.0,21,6,132,False,1389,,2021-10-23T16:37:47.604707Z,82,0,0,0,96235.jpg,4.0,0,0,Ulland Andersen,4.2,False,None,a,6,203,92,4866,0,7099,0,0.0,11.2,Ulland Andersen,3
3,0,100,100,3,134330,0,0,-4,4,0,3,2.0,0.0,0,Eirik,0.0,20,3,133,False,1084,,2021-09-12T16:16:05.397979Z,81,0,0,0,134330.jpg,3.2,0,0,Hestad,2.3,False,None,a,6,203,55,1154,0,2776,0,0.0,6.8,Hestad,0
0,0,100,100,2,61982,0,0,-3,3,0,3,1.0,0.0,1,Mathis,0.0,12,3,134,False,593,,2021-10-17T16:26:28.842851Z,77,0,0,0,61982.jpg,1.8,0,0,Bolly,0.4,False,None,a,12,278,42,99,0,181,0,0.0,5.5,Bolly,1
13,11,100,100,9,420965,0,0,9,-9,3,3,3.0,0.0,9,Ola,0.0,32,5,135,True,2396,,2021-05-18T17:56:31.813109Z,84,0,0,0,420965.jpg,4.6,0,0,Brynhildsen,20.7,False,None,a,6,203,138,17844,0,9997,0,0.0,16.4,Brynhildsen,3
1,0,100,100,5,61930,0,0,-1,1,0,3,1.3,0.0,0,Erling,0.0,21,1,136,False,1268,,2021-07-18T18:04:46.067710Z,69,0,0,0,61930.jpg,2.0,0,0,Knudtzon,4.0,False,None,a,6,203,49,89,0,1028,0,0.0,7.1,Knudtzon,1
7,2,100,100,9,95501,0,0,-4,4,2,3,4.0,0.0,1,Etzaz,0.0,27,2,137,False,1858,,2021-10-31T17:49:47.439733Z,61,0,0,0,95501.jpg,3.1,0,0,Hussain,9.4,False,None,a,6,203,85,1753,0,9458,0,0.0,13.9,Hussain,4
0,4,0,0,3,240772,0,0,-3,3,1,3,0.0,0.0,0,Martin,0.0,2,2,138,False,494,Kneskade - Ute resten av sesongen,2021-10-26T12:30:04.877522Z,57,0,0,0,240772.jpg,3.9,0,0,Ellingsen,1.0,False,None,i,6,203,27,837,0,1353,0,0.0,4.7,Ellingsen,2
5,6,0,0,6,134103,0,0,5,-5,1,3,0.0,0.0,0,Fredrik,0.0,17,1,139,False,1307,Solgt til Feyenoord,2021-08-08T18:40:16.031927Z,65,0,0,0,134103.jpg,4.1,0,0,Aursnes,16.5,False,None,u,6,203,61,14313,0,19423,0,0.0,9.4,Aursnes,1
6,2,None,None,3,445228,0,0,-2,2,1,3,3.7,0.0,4,Emil,0.0,16,1,140,False,1103,,None,43,0,0,0,445228.jpg,2.8,0,0,Breivik,1.3,False,None,a,6,203,55,730,0,555,0,0.0,12.8,Breivik,2
2,27,100,100,12,91082,0,0,8,-8,10,4,4.7,0.0,11,Ohikhuaeme,0.0,32,27,141,True,2360,,2021-05-22T15:50:02.345437Z,123,0,2,0,91082.jpg,6.6,0,0,Omoijuanfo,43.6,False,None,a,6,203,191,30477,0,12120,0,0.0,15.5,Omoijuanfo,3
0,0,0,0,0,61972,0,0,-2,2,0,4,0.0,0.0,0,Björn,0.0,0,0,142,False,13,Kneskade,2021-10-01T12:41:43.407500Z,98,0,0,0,61972.jpg,1.0,0,0,Sigurdarson,2.5,False,None,i,6,203,1,74,0,1669,0,0.0,0.1,Sigurdarson,0
1,0,None,None,0,520295,0,0,-5,5,0,4,0.0,0.0,1,David Datro,0.0,9,0,143,False,305,,None,90,0,0,0,520295.jpg,1.2,0,0,Fofana,4.4,False,None,a,6,203,22,537,0,4491,0,0.0,2.4,Fofana,0
0,2,None,None,2,156550,0,0,-2,2,0,1,0.0,0.0,0,Sondre,0.0,32,0,144,False,1530,,None,53,0,0,0,156550.jpg,2.4,0,40,Rossbach,5.4,False,None,a,7,307,40,2449,0,1582,0,0.0,7.5,Rossbach,1
0,7,100,100,1,448379,0,0,0,0,1,1,2.3,0.0,10,Leopold,0.0,26,0,145,False,1170,,2021-04-08T11:05:44.252450Z,45,0,0,1,448379.jpg,3.1,0,33,Wahlstedt,2.1,False,None,a,7,307,40,1221,0,483,0,0.0,8.9,Wahlstedt,1
3,2,100,100,1,42549,0,0,-2,2,0,2,2.3,0.0,8,Espen,0.0,42,2,146,False,1724,,2021-07-21T16:59:55.139457Z,68,0,0,0,42549.jpg,2.4,0,0,Ruud,1.0,False,None,a,7,307,51,1549,0,772,0,0.0,7.5,Ruud,1
2,2,100,100,3,227411,0,0,-1,1,0,2,2.0,0.0,2,John,0.0,47,0,147,False,2321,,2021-10-17T17:04:02.353501Z,59,0,0,0,227411.jpg,1.9,0,0,Kitolano,3.4,False,None,a,7,307,50,2118,0,1359,0,0.0,8.5,Kitolano,6
0,0,100,100,0,62009,0,0,-2,2,0,2,1.3,0.0,2,Steffen,0.0,13,0,148,False,558,,2021-05-05T09:34:53.301188Z,48,0,0,0,62009.jpg,1.1,0,0,Hagen,0.2,False,None,a,7,307,8,14,0,116,0,0.0,1.7,Hagen,0
1,4,None,None,3,443597,0,0,-1,1,1,2,1.7,0.0,2,Odin Luras,0.0,50,0,149,False,2440,,None,49,0,0,0,443597.jpg,2.0,0,0,Björtuft,2.3,False,None,a,7,307,56,2145,0,1651,0,0.0,11.4,Björtuft,2
0,1,100,100,0,530077,0,0,-2,2,0,2,1.0,0.0,0,Solomon,0.0,24,1,150,False,897,,2021-05-24T12:35:48.485711Z,48,0,0,0,530077.jpg,1.3,0,0,Owusu,0.6,False,None,a,7,307,24,309,0,426,0,0.0,5.0,Owusu,1
0,0,100,100,0,484627,0,0,0,0,0,2,0.0,0.0,0,Kevin,0.0,3,0,151,False,55,,2021-04-08T11:05:44.323723Z,45,0,0,0,484627.jpg,0.5,0,0,Egell-Johnsen,0.0,False,None,a,7,307,1,3,0,0,0,0.0,0.2,Egell-Johnsen,0
0,0,None,None,0,450047,0,0,-2,2,0,2,0.0,0.0,0,Bjørn,0.0,0,0,152,False,0,,None,43,0,0,0,450047.jpg,0.0,0,0,Mæland,0.3,False,None,a,7,307,0,17,0,46,0,0.0,0.0,Mæland,0
0,0,None,None,0,508943,0,0,-1,1,0,2,0.0,0.0,0,Eirik Asante,0.0,0,0,153,False,0,,None,39,0,0,0,508943.jpg,0.0,0,0,Gayi,0.8,False,None,a,7,307,0,211,0,282,0,0.0,0.0,Gayi,0
0,0,0,0,0,497950,0,0,0,0,0,2,0.0,0.0,0,Thomas,0.0,0,0,154,False,5,Utlånt til Ull/Kisa,2021-09-30T15:02:43.284218Z,40,0,0,0,497950.jpg,1.0,0,0,Hallstensen,0.2,False,None,u,7,307,1,24,0,136,0,0.0,0.2,Hallstensen,0
3,2,100,100,4,228900,0,0,-2,2,0,3,2.3,0.0,2,Markus,0.0,53,2,155,False,2444,,2021-11-21T18:20:02.140631Z,63,0,0,0,228900.jpg,2.7,0,0,Kaasa,0.8,False,None,a,7,307,80,407,0,447,0,0.0,12.7,Kaasa,3
2,0,100,100,1,103761,0,0,-1,1,0,3,0.3,0.0,1,Kristoffer,0.0,14,1,156,False,601,,2021-07-04T17:46:28.017080Z,64,0,0,0,103761.jpg,1.9,0,0,Larsen,0.2,False,None,a,7,307,37,16,0,38,0,0.0,5.8,Larsen,0
4,1,0,0,1,116607,0,0,-1,1,0,3,0.0,0.0,0,Gilli,0.0,37,1,157,False,1661,Lyskeskade - Ute resten av sesongen,2021-10-23T10:58:11.081933Z,59,0,0,0,116607.jpg,2.8,0,0,Ròlantsson Sørensen,0.1,False,None,i,7,307,55,90,0,108,0,0.0,9.3,Ròlantsson,3
1,0,None,None,0,215654,0,0,-3,3,0,3,0.0,0.0,0,Onyekachi,0.0,2,0,158,False,43,,None,52,0,0,0,215654.jpg,1.6,0,0,Ugwuadu,0.1,False,None,a,7,307,8,12,0,32,0,0.0,1.5,Kachi,0
2,7,0,0,3,441092,0,0,-2,2,0,3,0.0,0.0,0,Joshua,0.0,54,2,159,False,2444,Suspendert,2021-12-05T16:57:52.157328Z,53,0,0,0,441092.jpg,2.7,0,0,Kitolano,8.5,False,None,s,7,307,75,1791,0,4817,0,0.0,14.2,Kitolano,6
3,5,100,100,2,530076,0,0,-1,1,1,3,1.7,0.0,15,Conrad,0.0,23,3,160,False,1528,,2021-06-13T12:18:05.871562Z,54,0,0,0,530076.jpg,2.4,0,0,Wallem,0.1,False,None,a,7,307,72,38,0,35,0,0.0,13.3,Wallem,3
0,0,100,100,3,62003,0,0,-1,1,0,3,0.7,0.0,0,Magnus,0.0,41,0,161,False,2096,,2021-07-21T17:38:39.176252Z,49,0,0,0,62003.jpg,2.0,0,0,Lekven,1.0,False,None,a,7,307,51,97,0,386,0,0.0,10.4,Lekven,0
1,11,None,None,3,506168,0,0,-1,1,0,3,3.3,0.0,2,Filip Rønningen,0.0,49,2,162,False,2360,,None,44,0,0,0,506168.jpg,2.9,0,0,Jørgensen,3.9,False,None,a,7,307,80,4078,0,3881,0,0.0,18.2,Jørgensen,2
0,0,100,100,0,202261,0,0,0,0,0,3,0.0,0.0,0,Elias,0.0,0,0,163,False,0,,2021-05-12T20:57:17.803249Z,45,0,0,0,202261.jpg,0.0,0,0,Skogvoll,0.1,False,None,a,7,307,0,3,0,21,0,0.0,0.0,Skogvoll,0
1,15,0,0,2,81888,0,0,3,-3,3,4,0.0,0.0,0,Mushaga,0.0,11,11,164,False,879,Solgt til Tokushima Vortis,2021-07-17T17:59:02.485997Z,98,0,0,0,81888.jpg,7.2,0,0,Bakenga,8.0,False,None,u,7,307,79,16004,0,18046,0,0.0,8.1,Bakenga,4
3,6,None,None,0,209116,0,0,-5,5,3,4,3.3,0.0,10,Tobias,0.0,44,8,165,False,1622,,None,75,0,0,0,209116.jpg,3.2,0,0,Lauritsen,2.5,False,None,a,7,307,92,2841,0,2720,0,0.0,12.3,Lauritsen,1
0,2,100,100,5,61984,0,0,-1,1,0,1,3.3,0.0,1,André,0.0,38,0,166,False,2314,,2021-09-26T17:22:59.883430Z,59,0,0,0,61984.jpg,2.8,0,64,Hansen,8.6,False,None,a,8,197,73,3576,0,3968,0,0.0,12.4,Hansen,0
0,0,100,100,1,217243,0,0,-1,1,1,1,0.0,0.0,0,Julian Faye,0.0,4,0,167,False,385,,2021-05-12T10:04:04.657509Z,49,0,0,1,217243.jpg,3.8,0,11,Lund,0.4,False,None,a,8,197,19,189,0,219,0,0.0,3.9,Lund,0
0,0,None,None,0,449411,0,0,-1,1,0,1,0.0,0.0,0,Sander,0.0,0,0,168,False,0,,None,39,0,0,0,449411.jpg,0.0,0,0,Tangvik,2.8,False,None,a,8,197,0,941,0,599,0,0.0,0.0,Tangvik,0
0,0,100,100,2,82771,0,0,-1,1,0,2,2.3,0.0,1,Markus,0.0,13,1,169,False,703,,2021-10-17T17:42:11.973689Z,64,0,0,0,82771.jpg,2.3,1,0,Henriksen,2.3,False,None,a,8,197,21,395,0,3072,0,0.0,3.3,Henriksen,1
2,2,100,100,3,78293,0,0,-2,2,2,2,2.7,0.0,1,Hólmar Örn,0.0,20,2,170,False,1440,,2021-09-12T19:41:21.112893Z,63,0,0,0,78293.jpg,3.2,0,0,Eyjólfsson,1.6,False,None,a,8,197,52,1730,0,1851,0,0.0,8.3,Eyjólfsson,5
1,0,0,0,2,224859,0,0,-1,1,0,2,0.0,0.0,0,Jonathan,0.0,9,0,171,False,661,Lyskeskade - Ute resten av sesongen,2021-10-15T14:05:56.054035Z,64,0,0,0,224859.jpg,2.4,0,0,Augustinsson,0.1,False,None,i,8,197,24,71,0,72,0,0.0,3.8,Augustinsson,2
10,6,100,100,5,216168,0,0,3,-3,2,2,4.0,0.0,4,Erlend,0.0,37,1,172,False,2490,,2021-11-06T17:16:38.519624Z,63,0,0,0,216168.jpg,3.6,0,0,Dahl Reitan,17.5,False,None,a,8,197,102,14565,0,10769,0,0.0,16.2,Dahl Reitan,4
4,5,100,100,5,204165,0,0,-3,3,1,2,3.7,0.0,1,Adam,0.0,36,0,173,False,2306,,2021-10-03T18:04:34.178363Z,57,0,0,0,204165.jpg,2.6,1,0,Andersson,2.5,False,None,a,8,197,72,3502,0,2772,0,0.0,12.6,Andersson,3
2,5,None,None,6,95609,0,0,-1,1,0,2,2.7,0.0,-1,Even,0.0,40,2,174,False,2565,,None,59,2,0,0,95609.jpg,2.9,0,0,Hovland,6.8,False,None,a,8,197,84,5572,0,4233,0,0.0,14.2,Hovland,1
0,0,100,100,1,208984,0,0,-1,1,0,2,0.0,0.0,0,Besim,0.0,11,1,175,False,632,,2021-07-09T12:05:16.407190Z,54,0,0,0,208984.jpg,2.5,0,0,Serbecic,1.6,False,None,a,8,197,20,96,0,587,0,0.0,3.7,Serbecic,1
2,16,100,100,7,95606,0,0,2,-2,3,2,3.3,0.0,3,Gustav,0.0,42,3,176,False,2595,,2021-10-03T17:34:46.946747Z,57,1,0,0,95606.jpg,3.7,1,0,Valsvik,8.7,False,None,a,13,2364,107,5896,0,3033,0,0.0,18.8,Valsvik,1
0,0,0,0,0,514870,0,0,-1,1,0,2,0.0,0.0,0,Mikkel,0.0,0,0,177,False,4,Utlånt til Ranheim,2021-08-26T21:07:57.324945Z,39,0,0,0,514870.jpg,1.0,0,0,Konradsen Ceide,1.2,False,None,u,8,197,1,382,0,754,0,0.0,0.3,M. Ceïde,0
0,0,0,0,0,535315,0,0,-1,1,0,2,0.0,0.0,0,Pawel,0.0,0,0,178,False,0,Utlånt til Stjørdals-Blink ut sesongen,2021-07-16T12:20:11.727974Z,39,0,0,0,535315.jpg,0.0,0,0,Chrupalla,0.2,False,None,u,8,197,0,69,0,119,0,0.0,0.0,Chrupalla,0
3,10,0,0,3,247788,0,0,3,-3,3,3,0.0,0.0,0,Kristoffer,0.0,17,8,179,False,1080,Solgt til Ferencvaros,2021-07-15T15:56:34.638468Z,103,0,0,0,247788.jpg,6.8,0,0,Zachariassen,14.4,False,None,u,8,197,82,19195,0,22901,0,0.0,8.0,Zachariassen,4
1,13,100,100,3,172819,0,0,-2,2,5,3,0.3,0.0,7,Stefano,0.0,20,11,180,False,1250,,2021-11-27T12:46:53.351162Z,93,0,0,0,172819.jpg,6.1,0,0,Vecchia,5.1,False,None,a,8,197,104,11327,0,11653,0,0.0,11.2,Vecchia,0
3,11,100,100,3,455685,0,0,-5,5,1,3,0.3,0.0,1,Emil,0.0,20,5,181,False,1523,,2021-11-12T15:59:20.054397Z,80,0,0,0,455685.jpg,3.5,0,0,Konradsen Ceïde,3.5,False,None,a,8,197,84,2664,0,4270,0,0.0,10.5,E. Ceïde,2
7,11,100,100,4,226967,0,0,1,-1,3,3,4.7,0.0,2,Carlo,0.0,36,7,182,False,2297,,2021-07-15T09:16:41.074207Z,81,0,0,0,226967.jpg,4.3,0,0,Holse,10.6,False,None,a,8,197,125,13602,0,9320,0,0.0,15.4,Holse,0
0,1,100,100,1,54375,0,0,-1,1,0,3,3.3,0.0,0,Anders,0.0,12,2,183,False,784,,2021-11-19T14:05:06.136486Z,69,0,0,0,54375.jpg,2.1,0,0,Ågnes Konradsen,1.0,False,None,a,8,197,34,112,0,326,0,0.0,4.9,Konradsen,0
3,1,100,100,1,18664,0,0,-1,1,0,3,0.3,0.0,0,Per Ciljan,0.0,16,1,184,False,932,,2021-11-21T19:24:50.731324Z,54,0,0,0,18664.jpg,2.2,0,0,Skjelbred,0.2,False,None,a,8,197,37,162,0,203,0,0.0,6.9,Skjelbred,4
