total_points,now_cost,indexes
72,163,"[461, 446, 435, 419]"
106,164,"[461, 446, 419, 396]"
126,165,"[461, 446, 419, 362]"
163,166,"[461, 446, 419, 327]"
178,167,"[461, 435, 419, 327]"
212,168,"[461, 419, 396, 327]"
232,169,"[461, 419, 362, 327]"
253,170,"[461, 419, 327, 300]"
279,171,"[419, 396, 362, 327]"
300,172,"[419, 396, 327, 300]"
320,173,"[419, 362, 327, 300]"
330,174,"[362, 338, 327, 300]"
341,175,"[419, 362, 327, 206]"
362,176,"[419, 327, 300, 206]"
376,177,"[362, 327, 300, 206]"
382,178,"[327, 300, 330, 206]"
403,180,"[327, 300, 206, 199]"
407,182,"[362, 327, 206, 134]"
428,183,"[327, 300, 206, 134]"
430,184,"[327, 300, 206, 95]"
434,185,"[327, 206, 199, 134]"
436,186,"[327, 206, 199, 95]"
440,187,"[327, 300, 134, 95]"
454,188,"[327, 206, 134, 128]"
461,189,"[327, 206, 134, 95]"
466,192,"[327, 134, 128, 95]"
475,194,"[327, 206, 134, 14]"
477,195,"[327, 206, 95, 14]"
480,197,"[327, 134, 128, 14]"
487,198,"[327, 134, 95, 14]"
492,200,"[206, 134, 95, 14]"
497,203,"[134, 128, 95, 14]"
500,205,"[134, 95, 67, 14]"
