,Season,Formation,Budget,Best total cost,Best total points,Individual costs,Sorted individual costs,Id
4,,,700,699,1784,"[61, 63, 74, 45, 62, 91, 52, 64, 67, 69, 51]","[45, 51, 52, 61, 62, 63, 64, 67, 69, 74, 91]","[478, 500, 355, 416, 48, 398, 33, 77, 78, 561, 54]"
5,,,750,750,1890,"[63, 74, 101, 58, 62, 91, 50, 64, 67, 69, 51]","[50, 51, 58, 62, 63, 64, 67, 69, 74, 91, 101]","[500, 355, 143, 111, 48, 398, 436, 77, 78, 561, 54]"
6,,,800,798,1972,"[61, 63, 101, 62, 91, 117, 52, 64, 67, 69, 51]","[51, 52, 61, 62, 63, 64, 67, 69, 91, 101, 117]","[478, 500, 143, 48, 398, 12, 33, 77, 78, 561, 54]"
7,,,850,848,2056,"[63, 74, 101, 89, 91, 117, 62, 64, 67, 69, 51]","[51, 62, 63, 64, 67, 69, 74, 89, 91, 101, 117]","[500, 355, 143, 394, 398, 12, 384, 77, 78, 561, 54]"
8,,,900,900,2127,"[74, 101, 119, 89, 91, 117, 58, 64, 67, 69, 51]","[51, 58, 64, 67, 69, 74, 89, 91, 101, 117, 119]","[355, 143, 403, 394, 398, 12, 125, 77, 78, 561, 54]"
9,,,950,950,2170,"[101, 104, 119, 91, 105, 117, 62, 64, 67, 69, 51]","[51, 62, 64, 67, 69, 91, 101, 104, 105, 117, 119]","[143, 97, 403, 398, 82, 12, 384, 77, 78, 561, 54]"
10,,,1000,950,2170,"[101, 104, 119, 91, 105, 117, 62, 64, 67, 69, 51]","[51, 62, 64, 67, 69, 91, 101, 104, 105, 117, 119]","[143, 97, 403, 398, 82, 12, 384, 77, 78, 561, 54]"
0,,,500,500,1148,"[44, 46, 43, 44, 45, 46, 44, 46, 49, 50, 43]","[43, 43, 44, 44, 44, 45, 46, 46, 46, 49, 50]","[336, 70, 290, 439, 416, 42, 56, 34, 278, 436, 574]"
1,,,550,550,1373,"[44, 63, 44, 45, 46, 62, 44, 49, 50, 52, 51]","[44, 44, 44, 45, 46, 49, 50, 51, 52, 62, 63]","[336, 500, 439, 416, 42, 48, 56, 278, 436, 33, 54]"
2,,,600,600,1548,"[44, 63, 44, 45, 58, 62, 50, 52, 64, 67, 51]","[44, 44, 45, 50, 51, 52, 58, 62, 63, 64, 67]","[336, 500, 439, 416, 111, 48, 436, 33, 77, 78, 54]"
3,,,650,649,1682,"[63, 74, 45, 46, 58, 62, 50, 64, 67, 69, 51]","[45, 46, 50, 51, 58, 62, 63, 64, 67, 69, 74]","[500, 355, 416, 42, 111, 48, 436, 77, 78, 561, 54]"
4,,,700,696,1803,"[63, 74, 45, 58, 62, 91, 52, 64, 67, 69, 51]","[45, 51, 52, 58, 62, 63, 64, 67, 69, 74, 91]","[500, 355, 416, 111, 48, 398, 33, 77, 78, 561, 54]"
5,,,750,750,1910,"[74, 101, 45, 62, 74, 91, 52, 64, 67, 69, 51]","[45, 51, 52, 62, 64, 67, 69, 74, 74, 91, 101]","[355, 143, 416, 48, 368, 398, 33, 77, 78, 561, 54]"
6,,,800,799,2005,"[63, 74, 62, 89, 91, 117, 52, 64, 67, 69, 51]","[51, 52, 62, 63, 64, 67, 69, 74, 89, 91, 117]","[500, 355, 48, 394, 398, 12, 33, 77, 78, 561, 54]"
7,,,850,847,2088,"[74, 101, 62, 89, 91, 117, 62, 64, 67, 69, 51]","[51, 62, 62, 64, 67, 69, 74, 89, 91, 101, 117]","[355, 143, 48, 394, 398, 12, 384, 77, 78, 561, 54]"
8,,,900,892,2146,"[101, 119, 62, 89, 91, 117, 62, 64, 67, 69, 51]","[51, 62, 62, 64, 67, 69, 89, 91, 101, 117, 119]","[143, 403, 48, 394, 398, 12, 384, 77, 78, 561, 54]"
9,,,950,935,2192,"[101, 119, 89, 91, 105, 117, 62, 64, 67, 69, 51]","[51, 62, 64, 67, 69, 89, 91, 101, 105, 117, 119]","[143, 403, 394, 398, 82, 12, 384, 77, 78, 561, 54]"
10,,,1000,935,2192,"[101, 119, 89, 91, 105, 117, 62, 64, 67, 69, 51]","[51, 62, 64, 67, 69, 89, 91, 101, 105, 117, 119]","[143, 403, 394, 398, 82, 12, 384, 77, 78, 561, 54]"
