total_points,now_cost,indexes
50,135,"[186, 628, 627]"
131,136,"[186, 628, 548]"
170,137,"[186, 548, 72]"
200,139,"[186, 548, 347]"
215,140,"[186, 548, 159]"
221,141,"[186, 548, 187]"
244,143,"[548, 347, 159]"
250,144,"[548, 347, 187]"
265,145,"[548, 159, 187]"
270,147,"[548, 159, 348]"
276,148,"[548, 187, 348]"
280,149,"[548, 347, 302]"
295,150,"[548, 159, 302]"
301,151,"[548, 187, 302]"
306,153,"[548, 348, 302]"
316,155,"[548, 437, 302]"
317,157,"[187, 348, 302]"
321,158,"[159, 437, 302]"
327,159,"[187, 437, 302]"
332,161,"[348, 437, 302]"
341,163,"[437, 373, 302]"
344,168,"[437, 302, 71]"
346,180,"[437, 302, 161]"
354,183,"[548, 159, 209]"
360,184,"[548, 187, 209]"
365,186,"[548, 348, 209]"
375,188,"[548, 437, 209]"
390,189,"[548, 302, 209]"
395,192,"[159, 302, 209]"
401,193,"[187, 302, 209]"
406,195,"[348, 302, 209]"
416,197,"[437, 302, 209]"
418,202,"[302, 71, 209]"
420,214,"[302, 161, 209]"
447,229,"[548, 209, 235]"
452,232,"[159, 209, 235]"
458,233,"[187, 209, 235]"
463,235,"[348, 209, 235]"
473,237,"[437, 209, 235]"
488,238,"[302, 209, 235]"
494,269,"[187, 209, 394]"
499,271,"[348, 209, 394]"
509,273,"[437, 209, 394]"
524,274,"[302, 209, 394]"
533,298,"[209, 235, 257]"
581,314,"[209, 235, 394]"
