Budget,Best total cost,Best total points,Individual costs,Sorted individual costs,Id
500,500,1054,"[36, 44, 44, 45, 46, 49, 43, 46, 47, 48, 52]","[36, 43, 44, 44, 45, 46, 46, 47, 48, 49, 52]","[392, 413, 364, 215, 264, 420, 326, 334, 328, 379, 374]"
550,548,1300,"[60, 44, 46, 49, 51, 54, 46, 47, 48, 51, 52]","[44, 46, 46, 47, 48, 49, 51, 51, 52, 54, 60]","[80, 413, 264, 420, 70, 345, 334, 328, 379, 354, 374]"
600,600,1437,"[60, 49, 51, 54, 54, 74, 46, 47, 51, 62, 52]","[46, 47, 49, 51, 51, 52, 54, 54, 60, 62, 74]","[80, 420, 70, 345, 234, 268, 334, 328, 354, 357, 374]"
650,647,1535,"[72, 49, 51, 54, 74, 76, 47, 51, 59, 62, 52]","[47, 49, 51, 51, 52, 54, 59, 62, 72, 74, 76]","[416, 420, 70, 345, 268, 156, 328, 354, 359, 357, 374]"
700,697,1619,"[72, 51, 54, 74, 76, 99, 47, 51, 59, 62, 52]","[47, 51, 51, 52, 54, 59, 62, 72, 74, 76, 99]","[416, 70, 345, 268, 156, 186, 328, 354, 359, 357, 374]"
750,747,1695,"[72, 54, 74, 76, 77, 99, 51, 59, 62, 71, 52]","[51, 52, 54, 59, 62, 71, 72, 74, 76, 77, 99]","[416, 345, 268, 156, 270, 186, 354, 359, 357, 305, 374]"
800,796,1738,"[72, 74, 76, 77, 86, 99, 59, 62, 68, 71, 52]","[52, 59, 62, 68, 71, 72, 74, 76, 77, 86, 99]","[416, 268, 156, 270, 99, 186, 359, 357, 303, 305, 374]"
850,810,1739,"[86, 74, 76, 77, 86, 99, 59, 62, 68, 71, 52]","[52, 59, 62, 68, 71, 74, 76, 77, 86, 86, 99]","[246, 268, 156, 270, 99, 186, 359, 357, 303, 305, 374]"
