Budget,Best total cost,Best total points,Individual costs,Sorted individual costs,Id
500,500,1003,"[36, 40, 50, 44, 44, 44, 46, 46, 47, 51, 52]","[36, 40, 44, 44, 44, 46, 46, 47, 50, 51, 52]","[392, 108, 244, 413, 364, 363, 264, 334, 328, 354, 374]"
550,550,1249,"[50, 54, 60, 44, 46, 49, 51, 46, 47, 51, 52]","[44, 46, 46, 47, 49, 50, 51, 51, 52, 54, 60]","[244, 394, 80, 413, 264, 420, 70, 334, 328, 354, 374]"
600,600,1393,"[50, 60, 72, 44, 49, 51, 54, 47, 59, 62, 52]","[44, 47, 49, 50, 51, 52, 54, 59, 60, 62, 72]","[244, 80, 416, 413, 420, 70, 345, 328, 359, 357, 374]"
650,649,1500,"[50, 60, 72, 51, 54, 74, 76, 47, 51, 62, 52]","[47, 50, 51, 51, 52, 54, 60, 62, 72, 74, 76]","[244, 80, 416, 70, 345, 268, 156, 328, 354, 357, 374]"
700,697,1587,"[60, 72, 86, 51, 54, 74, 76, 51, 59, 62, 52]","[51, 51, 52, 54, 59, 60, 62, 72, 74, 76, 86]","[80, 416, 246, 70, 345, 268, 156, 354, 359, 357, 374]"
750,745,1669,"[60, 72, 86, 54, 74, 76, 99, 51, 59, 62, 52]","[51, 52, 54, 59, 60, 62, 72, 74, 76, 86, 99]","[80, 416, 246, 345, 268, 156, 186, 354, 359, 357, 374]"
800,797,1727,"[60, 72, 86, 74, 76, 86, 99, 59, 62, 71, 52]","[52, 59, 60, 62, 71, 72, 74, 76, 86, 86, 99]","[80, 416, 246, 268, 156, 99, 186, 359, 357, 305, 374]"
850,842,1738,"[72, 86, 105, 74, 76, 86, 99, 59, 62, 71, 52]","[52, 59, 62, 71, 72, 74, 76, 86, 86, 99, 105]","[416, 246, 29, 268, 156, 99, 186, 359, 357, 305, 374]"
