total_points,now_cost,indexes
628,325,"[14, 234, 104]"
534,322,"[14, 104, 252]"
524,316,"[14, 104, 387]"
472,313,"[14, 104, 230]"
437,312,"[14, 104, 16]"
428,310,"[14, 104, 226]"
411,301,"[14, 230, 16]"
402,299,"[14, 230, 226]"
367,298,"[14, 16, 226]"
336,296,"[14, 104, 617]"
328,292,"[14, 104, 149]"
325,289,"[14, 104, 254]"
310,285,"[14, 230, 617]"
275,284,"[14, 16, 617]"
266,282,"[14, 226, 617]"
258,278,"[14, 226, 149]"
255,275,"[14, 226, 254]"
244,268,"[14, 617, 109]"
225,265,"[14, 617, 454]"
166,264,"[14, 617, 149]"
163,261,"[14, 617, 254]"
155,257,"[14, 149, 254]"
152,253,"[14, 254, 17]"
126,243,"[16, 617, 149]"
117,241,"[226, 617, 149]"
114,238,"[226, 617, 254]"
106,234,"[226, 149, 254]"
103,230,"[226, 254, 17]"
95,227,"[617, 109, 149]"
76,224,"[617, 454, 149]"
27,223,"[617, 149, 228]"
14,220,"[617, 149, 254]"
11,216,"[617, 254, 17]"
3,212,"[149, 254, 17]"
0,200,"[254, 17, 207]"
