,indexes,now_cost,total_points
0,551,39,9
1,528,40,15
2,499,41,46
3,486,42,69
4,420,43,81
5,382,44,104
6,297,45,118
7,267,46,154
8,200,49,161
9,46,57,169
10,27,59,176
