total_points,now_cost,indexes
216,210,"[320, 452, 201, 22, 283]"
280,211,"[320, 452, 201, 22, 367]"
340,212,"[320, 452, 201, 367, 41]"
359,213,"[320, 452, 201, 367, 127]"
390,214,"[320, 452, 367, 41, 127]"
394,215,"[320, 367, 41, 46, 127]"
413,216,"[320, 367, 41, 127, 108]"
436,217,"[320, 367, 41, 127, 90]"
445,219,"[367, 41, 127, 108, 90]"
455,220,"[367, 41, 127, 90, 63]"
459,222,"[367, 41, 127, 90, 107]"
466,223,"[367, 41, 127, 90, 277]"
480,224,"[320, 367, 41, 127, 132]"
488,225,"[367, 41, 127, 90, 250]"
498,226,"[320, 367, 127, 90, 132]"
512,227,"[367, 41, 127, 90, 132]"
517,229,"[367, 127, 90, 63, 132]"
521,231,"[367, 127, 90, 107, 132]"
532,232,"[367, 41, 127, 250, 132]"
534,233,"[320, 367, 127, 132, 414]"
550,234,"[367, 127, 90, 250, 132]"
566,236,"[367, 127, 90, 132, 414]"
568,238,"[127, 90, 63, 132, 414]"
572,240,"[127, 90, 107, 132, 414]"
586,241,"[367, 127, 250, 132, 414]"
601,243,"[127, 90, 250, 132, 414]"
602,247,"[367, 250, 84, 132, 414]"
618,248,"[127, 250, 84, 132, 414]"
630,250,"[367, 127, 132, 414, 70]"
645,252,"[127, 90, 132, 414, 70]"
646,255,"[127, 250, 84, 132, 70]"
649,256,"[367, 250, 132, 414, 70]"
665,257,"[127, 250, 132, 414, 70]"
681,263,"[250, 84, 132, 414, 70]"
684,266,"[127, 250, 132, 70, 342]"
700,268,"[127, 132, 414, 70, 342]"
719,274,"[250, 132, 414, 70, 342]"
720,280,"[132, 414, 131, 70, 342]"
724,282,"[132, 414, 501, 70, 342]"
727,284,"[132, 414, 70, 279, 342]"
730,289,"[127, 250, 132, 414, 247]"
733,290,"[367, 127, 90, 132, 234]"
738,291,"[127, 90, 132, 70, 247]"
740,294,"[127, 132, 414, 70, 199]"
753,295,"[367, 127, 250, 132, 234]"
758,296,"[127, 250, 132, 70, 247]"
769,297,"[367, 127, 132, 414, 234]"
774,298,"[127, 132, 414, 70, 247]"
784,299,"[127, 90, 132, 414, 234]"
785,302,"[127, 250, 84, 132, 234]"
788,303,"[367, 250, 132, 414, 234]"
804,304,"[127, 250, 132, 414, 234]"
812,306,"[127, 90, 132, 70, 234]"
820,310,"[250, 84, 132, 414, 234]"
832,311,"[127, 250, 132, 70, 234]"
848,313,"[127, 132, 414, 70, 234]"
867,319,"[250, 132, 414, 70, 234]"
868,325,"[132, 414, 131, 70, 234]"
872,327,"[132, 414, 501, 70, 234]"
886,328,"[250, 132, 70, 342, 234]"
902,330,"[132, 414, 70, 342, 234]"
913,345,"[127, 132, 414, 247, 234]"
917,350,"[127, 250, 70, 247, 234]"
932,351,"[250, 132, 414, 247, 234]"
941,352,"[127, 132, 70, 247, 234]"
942,356,"[132, 414, 70, 199, 234]"
960,358,"[250, 132, 70, 247, 234]"
976,360,"[132, 414, 70, 247, 234]"
995,369,"[132, 70, 342, 247, 234]"
1007,388,"[132, 414, 199, 247, 234]"
1009,390,"[132, 70, 248, 247, 234]"
1018,391,"[132, 70, 390, 247, 234]"
1035,395,"[132, 70, 199, 247, 234]"
1046,404,"[70, 342, 199, 247, 234]"
1049,411,"[132, 70, 247, 252, 234]"
1050,414,"[70, 342, 247, 387, 234]"
1060,420,"[70, 342, 247, 252, 234]"
1069,426,"[70, 390, 199, 247, 234]"
1070,430,"[70, 199, 255, 247, 234]"
1073,436,"[70, 390, 247, 387, 234]"
1080,439,"[132, 199, 247, 252, 234]"
1090,440,"[70, 199, 247, 387, 234]"
1100,446,"[70, 199, 247, 252, 234]"
1104,456,"[70, 247, 387, 252, 234]"
1105,468,"[199, 255, 247, 387, 234]"
1114,470,"[390, 199, 247, 252, 234]"
1115,474,"[199, 255, 247, 252, 234]"
1118,480,"[390, 247, 387, 252, 234]"
1135,484,"[199, 247, 387, 252, 234]"
