cost,points_total,indexes
1065,1984,"[372, 280, 253, 270, 122, 251, 295, 246, 247, 288, 468]"
1063,1928,"[372, 280, 253, 270, 122, 251, 295, 246, 247, 288, 282]"
1061,1808,"[372, 280, 253, 270, 122, 251, 295, 246, 247, 288, 111]"
1062,1921,"[372, 280, 253, 270, 122, 251, 295, 246, 288, 265, 468]"
1060,1865,"[372, 280, 253, 270, 122, 251, 295, 246, 288, 265, 282]"
1058,1745,"[372, 280, 253, 270, 122, 251, 295, 246, 288, 265, 111]"
1059,1830,"[372, 280, 253, 270, 122, 251, 295, 246, 288, 267, 468]"
1057,1774,"[372, 280, 253, 270, 122, 251, 295, 246, 288, 267, 282]"
1055,1654,"[372, 280, 253, 270, 122, 251, 295, 246, 288, 267, 111]"
1056,1772,"[372, 280, 253, 270, 122, 251, 295, 288, 265, 267, 468]"
1054,1716,"[372, 280, 253, 270, 122, 251, 295, 288, 265, 267, 282]"
1052,1596,"[372, 280, 253, 270, 122, 251, 295, 288, 265, 267, 111]"
1052,1692,"[372, 280, 253, 270, 122, 251, 295, 288, 267, 264, 468]"
1050,1636,"[372, 280, 253, 270, 122, 251, 295, 288, 267, 264, 282]"
1048,1516,"[372, 280, 253, 270, 122, 251, 295, 288, 267, 264, 111]"
1051,1689,"[372, 280, 253, 270, 122, 251, 295, 288, 267, 355, 468]"
1049,1633,"[372, 280, 253, 270, 122, 251, 295, 288, 267, 355, 282]"
1047,1513,"[372, 280, 253, 270, 122, 251, 295, 288, 267, 355, 111]"
1049,1646,"[372, 280, 253, 270, 122, 251, 295, 288, 267, 360, 468]"
1047,1590,"[372, 280, 253, 270, 122, 251, 295, 288, 267, 360, 282]"
1045,1470,"[372, 280, 253, 270, 122, 251, 295, 288, 267, 360, 111]"
1047,1624,"[372, 280, 253, 270, 122, 251, 295, 288, 267, 117, 468]"
1045,1568,"[372, 280, 253, 270, 122, 251, 295, 288, 267, 117, 282]"
1043,1448,"[372, 280, 253, 270, 122, 251, 295, 288, 267, 117, 111]"
1043,1589,"[372, 280, 253, 270, 122, 251, 295, 288, 360, 117, 468]"
1041,1533,"[372, 280, 253, 270, 122, 251, 295, 288, 360, 117, 282]"
1039,1413,"[372, 280, 253, 270, 122, 251, 295, 288, 360, 117, 111]"
1038,1587,"[372, 280, 253, 270, 122, 251, 295, 288, 360, 501, 468]"
1036,1531,"[372, 280, 253, 270, 122, 251, 295, 288, 360, 501, 282]"
1034,1411,"[372, 280, 253, 270, 122, 251, 295, 288, 360, 501, 111]"
1036,1565,"[372, 280, 253, 270, 122, 251, 295, 288, 117, 501, 468]"
1034,1509,"[372, 280, 253, 270, 122, 251, 295, 288, 117, 501, 282]"
1032,1389,"[372, 280, 253, 270, 122, 251, 295, 288, 117, 501, 111]"
1031,1563,"[372, 280, 253, 270, 122, 251, 295, 288, 501, 290, 468]"
1029,1507,"[372, 280, 253, 270, 122, 251, 295, 288, 501, 290, 282]"
1027,1387,"[372, 280, 253, 270, 122, 251, 295, 288, 501, 290, 111]"
