cost,points_total,indexes
1009,1933,"[372, 253, 270, 122, 251, 295, 246, 247, 288, 265, 468]"
1007,1877,"[372, 253, 270, 122, 251, 295, 246, 247, 288, 265, 282]"
1005,1757,"[372, 253, 270, 122, 251, 295, 246, 247, 288, 265, 111]"
1006,1842,"[372, 253, 270, 122, 251, 295, 246, 247, 288, 267, 468]"
1004,1786,"[372, 253, 270, 122, 251, 295, 246, 247, 288, 267, 282]"
1002,1666,"[372, 253, 270, 122, 251, 295, 246, 247, 288, 267, 111]"
1003,1779,"[372, 253, 270, 122, 251, 295, 246, 288, 265, 267, 468]"
1001,1723,"[372, 253, 270, 122, 251, 295, 246, 288, 265, 267, 282]"
999,1603,"[372, 253, 270, 122, 251, 295, 246, 288, 265, 267, 111]"
1000,1729,"[372, 253, 270, 122, 251, 295, 288, 265, 113, 267, 468]"
998,1673,"[372, 253, 270, 122, 251, 295, 288, 265, 113, 267, 282]"
996,1553,"[372, 253, 270, 122, 251, 295, 288, 265, 113, 267, 111]"
999,1699,"[372, 253, 270, 122, 251, 295, 246, 288, 267, 264, 468]"
997,1643,"[372, 253, 270, 122, 251, 295, 246, 288, 267, 264, 282]"
995,1523,"[372, 253, 270, 122, 251, 295, 246, 288, 267, 264, 111]"
998,1696,"[372, 253, 270, 122, 251, 295, 246, 288, 267, 355, 468]"
996,1640,"[372, 253, 270, 122, 251, 295, 246, 288, 267, 355, 282]"
994,1520,"[372, 253, 270, 122, 251, 295, 246, 288, 267, 355, 111]"
996,1641,"[372, 253, 270, 122, 251, 295, 288, 265, 267, 264, 468]"
994,1585,"[372, 253, 270, 122, 251, 295, 288, 265, 267, 264, 282]"
992,1465,"[372, 253, 270, 122, 251, 295, 288, 265, 267, 264, 111]"
995,1638,"[372, 253, 270, 122, 251, 295, 288, 265, 267, 355, 468]"
993,1582,"[372, 253, 270, 122, 251, 295, 288, 265, 267, 355, 282]"
991,1462,"[372, 253, 270, 122, 251, 295, 288, 265, 267, 355, 111]"
994,1631,"[372, 253, 270, 122, 251, 295, 246, 288, 267, 117, 468]"
992,1575,"[372, 253, 270, 122, 251, 295, 246, 288, 267, 117, 282]"
990,1455,"[372, 253, 270, 122, 251, 295, 246, 288, 267, 117, 111]"
993,1595,"[372, 253, 270, 122, 251, 295, 288, 265, 267, 360, 468]"
991,1539,"[372, 253, 270, 122, 251, 295, 288, 265, 267, 360, 282]"
989,1419,"[372, 253, 270, 122, 251, 295, 288, 265, 267, 360, 111]"
991,1558,"[372, 253, 270, 122, 251, 295, 288, 267, 264, 355, 468]"
989,1502,"[372, 253, 270, 122, 251, 295, 288, 267, 264, 355, 282]"
987,1382,"[372, 253, 270, 122, 251, 295, 288, 267, 264, 355, 111]"
989,1515,"[372, 253, 270, 122, 251, 295, 288, 267, 264, 360, 468]"
987,1459,"[372, 253, 270, 122, 251, 295, 288, 267, 264, 360, 282]"
985,1339,"[372, 253, 270, 122, 251, 295, 288, 267, 264, 360, 111]"
988,1512,"[372, 253, 270, 122, 251, 295, 288, 267, 355, 360, 468]"
986,1456,"[372, 253, 270, 122, 251, 295, 288, 267, 355, 360, 282]"
984,1336,"[372, 253, 270, 122, 251, 295, 288, 267, 355, 360, 111]"
987,1493,"[372, 253, 270, 122, 251, 295, 288, 267, 264, 117, 468]"
985,1437,"[372, 253, 270, 122, 251, 295, 288, 267, 264, 117, 282]"
983,1317,"[372, 253, 270, 122, 251, 295, 288, 267, 264, 117, 111]"
986,1490,"[372, 253, 270, 122, 251, 295, 288, 267, 355, 117, 468]"
984,1434,"[372, 253, 270, 122, 251, 295, 288, 267, 355, 117, 282]"
982,1314,"[372, 253, 270, 122, 251, 295, 288, 267, 355, 117, 111]"
984,1447,"[372, 253, 270, 122, 251, 295, 288, 267, 360, 117, 468]"
982,1391,"[372, 253, 270, 122, 251, 295, 288, 267, 360, 117, 282]"
980,1271,"[372, 253, 270, 122, 251, 295, 288, 267, 360, 117, 111]"
979,1444,"[372, 253, 270, 122, 251, 295, 288, 360, 284, 117, 468]"
977,1388,"[372, 253, 270, 122, 251, 295, 288, 360, 284, 117, 282]"
975,1268,"[372, 253, 270, 122, 251, 295, 288, 360, 284, 117, 111]"
977,1423,"[372, 253, 270, 122, 251, 295, 288, 267, 117, 501, 468]"
975,1367,"[372, 253, 270, 122, 251, 295, 288, 267, 117, 501, 282]"
973,1247,"[372, 253, 270, 122, 251, 295, 288, 267, 117, 501, 111]"
976,1415,"[372, 253, 270, 122, 251, 295, 288, 360, 117, 294, 468]"
974,1359,"[372, 253, 270, 122, 251, 295, 288, 360, 117, 294, 282]"
972,1239,"[372, 253, 270, 122, 251, 295, 288, 360, 117, 294, 111]"
975,1410,"[372, 253, 270, 122, 251, 295, 288, 360, 117, 121, 468]"
973,1354,"[372, 253, 270, 122, 251, 295, 288, 360, 117, 121, 282]"
971,1234,"[372, 253, 270, 122, 251, 295, 288, 360, 117, 121, 111]"
973,1388,"[372, 253, 270, 122, 251, 295, 288, 360, 117, 501, 468]"
971,1332,"[372, 253, 270, 122, 251, 295, 288, 360, 117, 501, 282]"
969,1212,"[372, 253, 270, 122, 251, 295, 288, 360, 117, 501, 111]"
968,1386,"[372, 253, 270, 122, 251, 295, 288, 360, 501, 290, 468]"
966,1330,"[372, 253, 270, 122, 251, 295, 288, 360, 501, 290, 282]"
964,1210,"[372, 253, 270, 122, 251, 295, 288, 360, 501, 290, 111]"
966,1364,"[372, 253, 270, 122, 251, 295, 288, 117, 501, 290, 468]"
964,1308,"[372, 253, 270, 122, 251, 295, 288, 117, 501, 290, 282]"
962,1188,"[372, 253, 270, 122, 251, 295, 288, 117, 501, 290, 111]"
961,1362,"[372, 253, 270, 122, 251, 295, 288, 501, 290, 424, 468]"
959,1306,"[372, 253, 270, 122, 251, 295, 288, 501, 290, 424, 282]"
957,1186,"[372, 253, 270, 122, 251, 295, 288, 501, 290, 424, 111]"
952,1347,"[372, 253, 270, 122, 251, 295, 117, 501, 290, 424, 468]"
950,1291,"[372, 253, 270, 122, 251, 295, 117, 501, 290, 424, 282]"
948,1171,"[372, 253, 270, 122, 251, 295, 117, 501, 290, 424, 111]"
942,1345,"[372, 253, 270, 122, 251, 295, 501, 290, 424, 404, 468]"
940,1289,"[372, 253, 270, 122, 251, 295, 501, 290, 424, 404, 282]"
938,1169,"[372, 253, 270, 122, 251, 295, 501, 290, 424, 404, 111]"
1002,1761,"[372, 253, 270, 122, 295, 273, 246, 247, 288, 265, 468]"
1000,1705,"[372, 253, 270, 122, 295, 273, 246, 247, 288, 265, 282]"
998,1585,"[372, 253, 270, 122, 295, 273, 246, 247, 288, 265, 111]"
999,1670,"[372, 253, 270, 122, 295, 273, 246, 247, 288, 267, 468]"
997,1614,"[372, 253, 270, 122, 295, 273, 246, 247, 288, 267, 282]"
995,1494,"[372, 253, 270, 122, 295, 273, 246, 247, 288, 267, 111]"
996,1607,"[372, 253, 270, 122, 295, 273, 246, 288, 265, 267, 468]"
994,1551,"[372, 253, 270, 122, 295, 273, 246, 288, 265, 267, 282]"
992,1431,"[372, 253, 270, 122, 295, 273, 246, 288, 265, 267, 111]"
993,1557,"[372, 253, 270, 122, 295, 273, 288, 265, 113, 267, 468]"
991,1501,"[372, 253, 270, 122, 295, 273, 288, 265, 113, 267, 282]"
989,1381,"[372, 253, 270, 122, 295, 273, 288, 265, 113, 267, 111]"
992,1527,"[372, 253, 270, 122, 295, 273, 246, 288, 267, 264, 468]"
990,1471,"[372, 253, 270, 122, 295, 273, 246, 288, 267, 264, 282]"
988,1351,"[372, 253, 270, 122, 295, 273, 246, 288, 267, 264, 111]"
991,1524,"[372, 253, 270, 122, 295, 273, 246, 288, 267, 355, 468]"
989,1468,"[372, 253, 270, 122, 295, 273, 246, 288, 267, 355, 282]"
987,1348,"[372, 253, 270, 122, 295, 273, 246, 288, 267, 355, 111]"
989,1469,"[372, 253, 270, 122, 295, 273, 288, 265, 267, 264, 468]"
987,1413,"[372, 253, 270, 122, 295, 273, 288, 265, 267, 264, 282]"
985,1293,"[372, 253, 270, 122, 295, 273, 288, 265, 267, 264, 111]"
988,1466,"[372, 253, 270, 122, 295, 273, 288, 265, 267, 355, 468]"
986,1410,"[372, 253, 270, 122, 295, 273, 288, 265, 267, 355, 282]"
984,1290,"[372, 253, 270, 122, 295, 273, 288, 265, 267, 355, 111]"
987,1459,"[372, 253, 270, 122, 295, 273, 246, 288, 267, 117, 468]"
985,1403,"[372, 253, 270, 122, 295, 273, 246, 288, 267, 117, 282]"
983,1283,"[372, 253, 270, 122, 295, 273, 246, 288, 267, 117, 111]"
986,1423,"[372, 253, 270, 122, 295, 273, 288, 265, 267, 360, 468]"
984,1367,"[372, 253, 270, 122, 295, 273, 288, 265, 267, 360, 282]"
982,1247,"[372, 253, 270, 122, 295, 273, 288, 265, 267, 360, 111]"
984,1386,"[372, 253, 270, 122, 295, 273, 288, 267, 264, 355, 468]"
982,1330,"[372, 253, 270, 122, 295, 273, 288, 267, 264, 355, 282]"
980,1210,"[372, 253, 270, 122, 295, 273, 288, 267, 264, 355, 111]"
982,1343,"[372, 253, 270, 122, 295, 273, 288, 267, 264, 360, 468]"
980,1287,"[372, 253, 270, 122, 295, 273, 288, 267, 264, 360, 282]"
978,1167,"[372, 253, 270, 122, 295, 273, 288, 267, 264, 360, 111]"
981,1340,"[372, 253, 270, 122, 295, 273, 288, 267, 355, 360, 468]"
979,1284,"[372, 253, 270, 122, 295, 273, 288, 267, 355, 360, 282]"
977,1164,"[372, 253, 270, 122, 295, 273, 288, 267, 355, 360, 111]"
980,1321,"[372, 253, 270, 122, 295, 273, 288, 267, 264, 117, 468]"
978,1265,"[372, 253, 270, 122, 295, 273, 288, 267, 264, 117, 282]"
