total_points,now_cost,indexes
126,192,"[362, 506, 319, 36, 365]"
135,193,"[362, 506, 36, 365, 131]"
160,194,"[362, 506, 36, 365, 322]"
180,195,"[362, 506, 36, 365, 495]"
197,196,"[362, 506, 36, 365, 413]"
209,197,"[362, 506, 36, 365, 11]"
222,198,"[362, 506, 36, 495, 413]"
237,199,"[362, 506, 36, 413, 346]"
251,200,"[362, 506, 36, 413, 11]"
262,201,"[362, 506, 36, 413, 56]"
274,202,"[362, 506, 36, 11, 56]"
285,203,"[362, 36, 413, 346, 452]"
299,204,"[362, 36, 413, 346, 11]"
310,205,"[362, 36, 413, 346, 56]"
324,206,"[362, 36, 413, 11, 56]"
332,207,"[36, 365, 413, 11, 56]"
347,208,"[36, 413, 346, 452, 11]"
358,209,"[36, 413, 346, 452, 56]"
372,210,"[36, 413, 346, 11, 56]"
374,211,"[36, 413, 11, 477, 56]"
385,212,"[36, 413, 11, 56, 358]"
394,213,"[36, 413, 11, 56, 57]"
407,214,"[36, 413, 11, 56, 34]"
418,216,"[36, 11, 56, 358, 34]"
427,217,"[36, 413, 56, 34, 321]"
439,218,"[36, 11, 56, 34, 321]"
448,220,"[36, 11, 56, 34, 32]"
457,221,"[36, 11, 56, 34, 278]"
467,222,"[36, 11, 56, 34, 436]"
468,223,"[36, 56, 34, 321, 32]"
477,224,"[36, 56, 34, 321, 278]"
487,225,"[36, 56, 34, 321, 436]"
496,227,"[36, 56, 34, 32, 436]"
505,228,"[36, 56, 34, 278, 436]"
515,229,"[11, 56, 34, 321, 436]"
524,231,"[11, 56, 34, 32, 436]"
533,232,"[11, 56, 34, 278, 436]"
534,233,"[56, 34, 321, 32, 278]"
544,234,"[56, 34, 321, 32, 436]"
553,235,"[56, 34, 321, 278, 436]"
562,237,"[56, 34, 32, 278, 436]"
566,238,"[56, 34, 321, 436, 33]"
571,239,"[34, 321, 32, 278, 436]"
575,240,"[56, 34, 32, 436, 33]"
584,241,"[56, 34, 278, 436, 33]"
593,243,"[34, 321, 278, 436, 33]"
602,245,"[34, 32, 278, 436, 33]"
607,247,"[56, 278, 436, 33, 359]"
608,248,"[34, 32, 436, 33, 359]"
617,249,"[34, 278, 436, 33, 359]"
625,251,"[32, 278, 436, 33, 359]"
626,253,"[278, 436, 58, 33, 359]"
631,255,"[32, 278, 436, 33, 126]"
633,256,"[56, 34, 436, 33, 77]"
638,257,"[34, 32, 278, 436, 77]"
642,258,"[34, 321, 436, 33, 77]"
650,259,"[56, 278, 436, 33, 77]"
651,260,"[34, 32, 436, 33, 77]"
660,261,"[34, 278, 436, 33, 77]"
668,263,"[32, 278, 436, 33, 77]"
669,265,"[278, 436, 58, 33, 77]"
676,266,"[32, 278, 436, 33, 78]"
683,267,"[278, 436, 33, 359, 77]"
691,270,"[278, 436, 33, 359, 78]"
697,274,"[278, 436, 33, 126, 78]"
704,276,"[34, 278, 436, 77, 78]"
707,277,"[56, 436, 33, 77, 78]"
712,278,"[32, 278, 436, 77, 78]"
717,279,"[34, 436, 33, 77, 78]"
725,281,"[32, 436, 33, 77, 78]"
734,282,"[278, 436, 33, 77, 78]"
740,285,"[436, 33, 359, 77, 78]"
741,287,"[278, 436, 33, 78, 561]"
746,289,"[436, 33, 126, 77, 78]"
747,290,"[436, 33, 359, 78, 561]"
748,291,"[436, 33, 125, 77, 78]"
753,294,"[436, 33, 126, 78, 561]"
755,295,"[436, 33, 384, 77, 78]"
760,296,"[34, 436, 77, 78, 561]"
768,298,"[32, 436, 77, 78, 561]"
777,299,"[278, 436, 77, 78, 561]"
780,301,"[278, 33, 77, 78, 561]"
790,302,"[436, 33, 77, 78, 561]"
792,308,"[33, 126, 77, 78, 561]"
794,310,"[33, 125, 77, 78, 561]"
798,312,"[436, 384, 77, 78, 561]"
801,314,"[33, 384, 77, 78, 561]"
802,320,"[125, 384, 77, 78, 561]"
