,Budget interval,"Best 50 (Normal,Diverse)","All (Normal,Diverse)"
0,450 to 500,"[80, 20]","[87, 13]"
1,500 to 550,"[50, 50]","[83, 17]"
2,550 to 600,"[42, 58]","[74, 26]"
3,600 to 650,"[34, 66]","[80, 20]"
4,650 to 700,"[82, 18]","[96, 4]"
5,700 to 750,"[100, 0]","[97, 3]"
6,750 to 800,"[100, 0]","[96, 4]"
7,800 to 850,"[98, 2]","[90, 10]"
8,850 to 900,"[100, 0]","[84, 16]"
9,900 to 950,"[100, 0]","[66, 34]"
10,950 to 1000,"[100, 0]","[100, 0]"
