,Budget interval,"Best 50 (Normal,Diverse)","All (Normal,Diverse)"
0,450 to 500,"[76, 24]","[83, 17]"
1,500 to 550,"[54, 46]","[82, 18]"
2,550 to 600,"[10, 90]","[67, 33]"
3,600 to 650,"[18, 82]","[75, 25]"
4,650 to 700,"[62, 38]","[94, 6]"
5,700 to 750,"[100, 0]","[94, 6]"
6,750 to 800,"[98, 2]","[89, 11]"
7,800 to 850,"[100, 0]","[86, 14]"
8,850 to 900,"[96, 4]","[78, 22]"
9,900 to 950,"[84, 16]","[65, 35]"
10,950 to 1000,"[58, 42]","[55, 45]"
