Budget,Best total cost,Best total points,Individual costs,Id
500,500,1090,"[41, 42, 43, 44, 44, 45, 46, 46, 46, 47, 56]","[524, 347, 85, 504, 340, 80, 427, 409, 483, 145, 88]"
550,550,1403,"[43, 44, 46, 46, 47, 48, 49, 54, 56, 58, 59]","[347, 85, 493, 504, 80, 147, 483, 162, 484, 245, 88]"
600,600,1640,"[44, 46, 48, 49, 50, 54, 56, 58, 59, 67, 69]","[85, 493, 437, 504, 147, 42, 162, 484, 245, 247, 88]"
650,650,1832,"[44, 49, 50, 54, 58, 59, 64, 67, 67, 69, 69]","[493, 437, 43, 504, 42, 40, 484, 245, 247, 246, 154]"
700,699,1957,"[49, 58, 58, 59, 64, 65, 67, 67, 69, 69, 74]","[493, 437, 43, 40, 150, 172, 245, 116, 247, 246, 154]"
750,750,2043,"[57, 58, 59, 63, 64, 67, 67, 69, 69, 74, 103]","[493, 437, 43, 40, 172, 251, 245, 268, 247, 246, 260]"
800,800,2112,"[49, 58, 59, 63, 64, 67, 67, 69, 69, 103, 132]","[493, 437, 43, 40, 251, 253, 245, 268, 247, 246, 154]"
850,846,2169,"[49, 58, 59, 63, 67, 67, 69, 69, 103, 110, 132]","[493, 437, 43, 251, 122, 253, 245, 268, 247, 246, 154]"
900,900,2228,"[58, 58, 59, 67, 67, 69, 69, 103, 108, 110, 132]","[437, 43, 23, 251, 122, 253, 245, 116, 247, 246, 468]"
950,946,2259,"[49, 58, 63, 67, 67, 69, 103, 108, 110, 120, 132]","[437, 23, 280, 251, 122, 253, 245, 268, 247, 246, 154]"
1000,970,2277,"[58, 59, 63, 67, 67, 69, 108, 110, 117, 120, 132]","[437, 23, 280, 122, 270, 253, 245, 268, 247, 246, 468]"
