,Budget interval,"Best 50 (Normal,Diverse)","All (Normal,Diverse)"
0,450 to 500,"[38, 62]","[58, 42]"
1,500 to 550,"[24, 76]","[60, 40]"
2,550 to 600,"[0, 100]","[31, 69]"
3,600 to 650,"[0, 100]","[57, 43]"
4,650 to 700,"[32, 68]","[91, 9]"
5,700 to 750,"[100, 0]","[95, 5]"
6,750 to 800,"[100, 0]","[75, 25]"
7,800 to 850,"[100, 0]","[42, 58]"
8,850 to 900,"[30, 70]","[7, 93]"
9,900 to 950,"[6, 94]","[2, 98]"
10,950 to 1000,"[0, 0]","[0, 0]"
