,Budget interval,Best 50,Worst 50,All
0,450 to 500,"[46, 24, 30]","[32, 64, 4]","[62, 16, 21]"
1,500 to 550,"[26, 54, 20]","[26, 34, 40]","[62, 18, 20]"
2,550 to 600,"[16, 68, 16]","[64, 32, 4]","[61, 21, 18]"
3,600 to 650,"[52, 22, 26]","[68, 30, 2]","[60, 23, 17]"
4,650 to 700,"[80, 10, 10]","[68, 26, 6]","[55, 30, 15]"
5,700 to 750,"[80, 18, 2]","[60, 32, 8]","[48, 37, 14]"
6,750 to 800,"[54, 34, 12]","[60, 38, 2]","[39, 48, 13]"
7,800 to 850,"[44, 36, 20]","[30, 66, 4]","[30, 58, 12]"
8,850 to 900,"[42, 34, 24]","[10, 84, 6]","[25, 63, 12]"
9,900 to 950,"[38, 36, 26]","[16, 72, 12]","[17, 69, 14]"
10,950 to 1000,"[50, 0, 50]","[50, 0, 50]","[50, 0, 50]"
