,Budget interval,Best 50,Worst 50,All
0,450 to 500,"[66, 4, 30]","[46, 50, 4]","[65, 16, 19]"
1,500 to 550,"[54, 38, 8]","[22, 52, 26]","[61, 21, 18]"
2,550 to 600,"[28, 62, 10]","[34, 28, 38]","[60, 24, 16]"
3,600 to 650,"[30, 36, 34]","[30, 32, 38]","[58, 26, 16]"
4,650 to 700,"[60, 24, 16]","[78, 20, 2]","[57, 28, 15]"
5,700 to 750,"[56, 28, 16]","[86, 10, 4]","[53, 32, 15]"
6,750 to 800,"[28, 42, 30]","[74, 20, 6]","[46, 40, 15]"
7,800 to 850,"[20, 54, 26]","[52, 38, 10]","[36, 49, 15]"
8,850 to 900,"[8, 48, 44]","[18, 74, 8]","[26, 55, 19]"
9,900 to 950,"[0, 46, 54]","[18, 78, 4]","[16, 71, 13]"
10,950 to 1000,"[0, 84, 16]","[16, 78, 6]","[12, 81, 7]"
