,Budget,Best total cost,Best total points,Sorted individual costs,Individual costs
0,500,500,1319,"[41, 43, 44, 44, 45, 46, 46, 47, 47, 48, 49]","[49, 46, 48, 47, 46, 45, 47, 44, 44, 43, 41]"
1,550,550,1580,"[44, 44, 45, 46, 46, 48, 49, 54, 57, 58, 59]","[58, 59, 57, 49, 54, 46, 48, 46, 45, 44, 44]"
2,600,598,1763,"[46, 48, 49, 53, 53, 54, 57, 58, 58, 59, 63]","[58, 63, 59, 57, 58, 49, 54, 46, 53, 53, 48]"
3,650,618,1799,"[46, 49, 53, 54, 57, 58, 58, 59, 59, 62, 63]","[58, 63, 59, 57, 58, 62, 49, 54, 46, 59, 53]"
4,700,618,1799,"[46, 49, 53, 54, 57, 58, 58, 59, 59, 62, 63]","[58, 63, 59, 57, 58, 62, 49, 54, 46, 59, 53]"
5,750,618,1799,"[46, 49, 53, 54, 57, 58, 58, 59, 59, 62, 63]","[58, 63, 59, 57, 58, 62, 49, 54, 46, 59, 53]"
6,800,618,1799,"[46, 49, 53, 54, 57, 58, 58, 59, 59, 62, 63]","[58, 63, 59, 57, 58, 62, 49, 54, 46, 59, 53]"
7,850,618,1799,"[46, 49, 53, 54, 57, 58, 58, 59, 59, 62, 63]","[58, 63, 59, 57, 58, 62, 49, 54, 46, 59, 53]"
8,900,618,1799,"[46, 49, 53, 54, 57, 58, 58, 59, 59, 62, 63]","[58, 63, 59, 57, 58, 62, 49, 54, 46, 59, 53]"
9,950,618,1799,"[46, 49, 53, 54, 57, 58, 58, 59, 59, 62, 63]","[58, 63, 59, 57, 58, 62, 49, 54, 46, 59, 53]"
10,1000,618,1799,"[46, 49, 53, 54, 57, 58, 58, 59, 59, 62, 63]","[58, 63, 59, 57, 58, 62, 49, 54, 46, 59, 53]"
